2003-02-16 331_04 117_49 325_28 292_03 253_10 104_43 058_40 306_22 288_19 236_01 039_13 1.00 14.37 F001.88 F001.17 F000.60 R359.95 F000.05 F000.05 F000.03 F000.00 359.92
2003-02-17 332_04 132_11 327_21 293_13 253_46 104_40 058_43 306_25 288_21 236_01 039_08 1.00 14.73 F001.90 F001.20 F000.65 R359.95 F000.03 F000.05 F000.02 F000.03 359.97
2003-02-18 333_04 146_55 329_15 294_25 254_25 104_37 058_45 306_28 288_22 236_03 039_06 1.00 14.98 F001.92 F001.20 F000.63 R359.95 F000.03 F000.05 F000.02 F000.00 359.93
2003-02-19 334_04 161_54 331_10 295_37 255_03 104_34 058_47 306_31 288_23 236_03 039_02 1.00 15.03 F001.95 F001.20 F000.62 R359.95 F000.07 F000.05 F000.03 F000.00 359.97
2003-02-20 335_04 176_56 333_07 296_49 255_40 104_31 058_51 306_34 288_25 236_03 039_00 0.98 14.98 F001.95 F001.20 F000.65 R359.95 F000.03 F000.07 F000.05 F000.00 359.95
2003-02-21 336_03 191_55 335_04 298_01 256_19 104_28 058_53 306_38 288_28 236_03 038_57 1.00 14.75 F002.00 F001.17 F000.62 R359.95 F000.07 F000.05 F000.00 F000.00 359.93
2003-02-22 337_03 206_40 337_04 299_11 256_56 104_25 058_57 306_41 288_28 236_03 038_53 1.00 14.48 F002.00 F001.20 F000.63 R359.98 F000.05 F000.07 F000.05 F000.00 359.93
2003-02-23 338_03 221_09 339_04 300_23 257_34 104_24 059_00 306_45 288_31 236_03 038_49 0.97 14.12 F002.00 F001.22 F000.62 R359.97 F000.03 F000.05 F000.03 B000.00 359.95
2003-02-24 339_01 235_16 341_04 301_36 258_11 104_22 059_02 306_48 288_33 236_03 038_46 1.00 13.78 F002.00 F001.20 F000.63 R359.95 F000.07 F000.05 F000.02 R000.00 359.95
2003-02-25 340_01 249_03 343_04 302_48 258_49 104_19 059_06 306_51 288_34 236_03 038_43 1.00 13.42 F002.05 F001.17 F000.65 R359.97 F000.07 F000.03 F000.03 R000.00 359.95
2003-02-26 341_01 262_28 345_07 303_58 259_28 104_17 059_10 306_53 288_36 236_03 038_40 0.98 13.15 F002.02 F001.20 F000.60 R359.98 F000.05 F000.05 F000.02 R000.00 359.95
2003-02-27 342_00 275_37 347_08 305_10 260_04 104_16 059_13 306_56 288_37 236_03 038_37 1.00 12.90 F002.03 F001.20 F000.65 R359.98 F000.05 F000.07 F000.02 R000.00 359.95
2003-02-28 343_00 288_31 349_10 306_22 260_43 104_15 059_16 307_00 288_38 236_03 038_34 0.97 12.65 F002.05 F001.20 F000.63 R359.97 F000.05 F000.05 F000.03 R359.97 359.95
2003-02-29 343_58 301_10 351_13 307_34 261_21 104_13 059_19 307_03 288_40 236_01 038_31 1.00 12.45 F002.03 F001.20 F000.62 R359.98 F000.07 F000.05 F000.02 R000.00 359.95
2003-02-30 344_58 313_37 353_15 308_46 261_58 104_12 059_23 307_06 288_41 236_01 038_28 1.00 12.30 F002.02 F001.20 F000.63 R359.97 F000.08 F000.03 F000.03 R000.00 359.95
