1943-02-06 321_28 315_31 299_04 347_25 275_03 082_10 043_13 037_47 158_04 102_15 121_02 1.00 14.45 F001.45 F001.22 F000.75 R359.98 F000.05 F000.03 R359.98 R359.97 359.97
1943-02-07 322_28 329_58 300_31 348_38 275_48 082_09 043_16 037_49 158_03 102_13 121_00 1.00 14.20 F001.50 F001.23 F000.72 R359.97 F000.05 F000.03 R359.97 R000.00 359.95
1943-02-08 323_28 344_10 302_01 349_52 276_31 082_07 043_19 037_51 158_01 102_13 120_57 1.00 13.83 F001.50 F001.25 F000.75 R000.00 F000.05 F000.02 R359.95 R359.98 359.95
1943-02-09 324_28 358_00 303_31 351_07 277_16 082_07 043_22 037_52 157_58 102_12 120_54 1.00 13.42 F001.55 F001.20 F000.75 R000.00 F000.08 F000.02 R000.00 R359.97 359.93
1943-02-10 325_28 011_25 305_04 352_19 278_01 082_07 043_27 037_53 157_58 102_10 120_50 1.00 13.02 F001.53 F001.25 F000.75 R359.97 F000.05 F000.03 R359.95 R000.00 359.95
1943-02-11 326_28 024_26 306_36 353_34 278_46 082_05 043_30 037_55 157_55 102_10 120_47 1.00 12.68 F001.57 F001.23 F000.75 R000.00 F000.07 F000.03 R000.00 R359.98 359.93
1943-02-12 327_28 037_07 308_10 354_48 279_31 082_05 043_34 037_57 157_55 102_09 120_43 1.00 12.33 F001.60 F001.22 F000.75 E000.00 F000.05 F000.02 R359.95 R359.97 359.95
1943-02-13 328_28 049_27 309_46 356_01 280_16 082_05 043_37 037_58 157_52 102_07 120_40 1.00 12.07 F001.60 F001.23 F000.75 F000.03 F000.05 F000.05 R359.97 R000.00 359.95
1943-02-14 329_28 061_31 311_22 357_15 281_01 082_07 043_40 038_01 157_50 102_07 120_37 1.00 11.93 F001.63 F001.22 F000.75 F000.00 F000.08 F000.00 R359.98 R359.97 359.95
1943-02-15 330_28 073_27 313_00 358_28 281_46 082_07 043_45 038_01 157_49 102_05 120_34 1.00 11.82 F001.63 F001.22 F000.75 F000.00 F000.07 F000.05 R359.98 R359.98 359.95
1943-02-16 331_28 085_16 314_38 359_41 282_31 082_07 043_49 038_04 157_48 102_04 120_31 1.00 11.80 F001.68 F001.23 F000.75 F000.03 F000.05 F000.03 R359.97 R000.00 359.95
1943-02-17 332_28 097_04 316_19 000_55 283_16 082_09 043_52 038_06 157_46 102_04 120_28 0.97 11.90 F001.68 F001.20 F000.75 F000.02 F000.08 F000.02 R359.98 R000.00 359.95
1943-02-18 333_26 108_58 318_00 002_07 284_01 082_10 043_57 038_07 157_45 102_04 120_25 1.00 12.03 F001.72 F001.23 F000.75 F000.00 F000.07 F000.05 R359.97 R359.97 359.95
1943-02-19 334_26 121_00 319_43 003_21 284_46 082_10 044_01 038_10 157_43 102_02 120_22 1.00 12.18 F001.70 F001.22 F000.75 F000.03 F000.08 F000.03 R359.95 R359.98 359.95
1943-02-20 335_26 133_11 321_25 004_34 285_31 082_12 044_06 038_12 157_40 102_01 120_19 0.98 12.47 F001.75 F001.22 F000.75 F000.02 F000.07 F000.02 R000.00 R000.00 359.95
1943-02-21 336_25 145_39 323_10 005_47 286_16 082_13 044_10 038_13 157_40 102_01 120_16 1.00 12.68 F001.77 F001.23 F000.75 F000.05 F000.08 F000.05 R359.95 R000.00 359.95
1943-02-22 337_25 158_20 324_56 007_01 287_01 082_16 044_15 038_16 157_37 102_01 120_13 1.00 12.97 F001.82 F001.20 F000.75 F000.02 F000.07 F000.02 R359.97 R359.98 359.93
1943-02-23 338_25 171_18 326_45 008_13 287_46 082_17 044_19 038_17 157_35 102_00 120_09 1.00 13.20 F001.82 F001.22 F000.75 F000.03 F000.07 F000.03 R359.98 R000.00 359.93
1943-02-24 339_25 184_30 328_34 009_26 288_31 082_19 044_23 038_19 157_34 102_00 120_05 0.97 13.42 F001.82 F001.23 F000.75 F000.05 F000.08 F000.05 R359.98 R359.97 359.95
1943-02-25 340_23 197_55 330_23 010_40 289_16 082_22 044_28 038_22 157_33 101_58 120_02 1.00 13.63 F001.87 F001.20 F000.75 F000.05 F000.07 F000.02 R359.97 R000.00 359.97
1943-02-26 341_23 211_33 332_15 011_52 290_01 082_25 044_32 038_23 157_31 101_58 120_00 0.98 13.78 F001.87 F001.20 F000.75 F000.05 F000.08 F000.07 R359.98 R000.00 359.95
1943-02-27 342_22 225_20 334_07 013_04 290_46 082_28 044_37 038_27 157_30 101_58 119_57 1.00 13.93 F001.90 F001.23 F000.75 F000.05 F000.10 F000.02 R359.97 R359.98 359.95
1943-02-28 343_22 239_16 336_01 014_18 291_31 082_31 044_43 038_28 157_28 101_57 119_54 1.00 14.05 F001.92 F001.22 F000.75 F000.05 F000.07 F000.05 R359.97 R000.00 359.92
1943-02-29 344_22 253_19 337_56 015_31 292_16 082_34 044_47 038_31 157_26 101_57 119_49 0.98 14.15 F001.95 F001.20 F000.75 F000.05 F000.08 F000.05 R359.98 R359.97 359.95
1943-02-30 345_21 267_28 339_53 016_43 293_01 082_37 044_52 038_34 157_25 101_55 119_46 0.97 14.22 F001.97 F001.20 F000.75 F000.05 F000.10 F000.03 R359.95 R000.00 359.95
1943-02-31 346_19 281_41 341_51 017_55 293_46 082_40 044_58 038_36 157_22 101_55 119_43 1.00 14.28 F001.97 F001.20 F000.75 F000.05 F000.10 F000.03 R000.00 R000.00 359.95
1943-03-01 347_19 295_58 343_49 019_07 294_31 082_43 045_04 038_38 157_22 101_55 119_40 1.00 14.25 F002.03 F001.23 F000.75 F000.07 F000.07 F000.03 R359.95 R000.00 359.95
1943-03-02 348_19 310_13 345_51 020_21 295_16 082_47 045_08 038_40 157_19 101_55 119_37 0.98 14.20 F002.02 F001.20 F000.78 F000.08 F000.12 F000.05 R359.98 R359.98 359.95
1943-03-03 349_18 324_25 347_52 021_33 296_03 082_52 045_15 038_43 157_18 101_54 119_34 0.97 14.10 F002.02 F001.20 F000.75 F000.05 F000.07 F000.05 R359.97 R000.00 359.95
1943-03-04 350_16 338_31 349_53 022_45 296_48 082_55 045_19 038_46 157_16 101_54 119_31 1.00 13.87 F002.05 F001.22 F000.75 F000.08 F000.10 F000.05 R359.98 R000.00 359.95
1943-03-05 351_16 352_23 351_56 023_58 297_33 083_00 045_25 038_49 157_15 101_54 119_28 0.98 13.63 F002.08 F001.20 F000.75 F000.07 F000.10 F000.03 R359.97 R359.97 359.95
1943-03-06 352_15 006_01 354_01 025_10 298_18 083_04 045_31 038_51 157_13 101_52 119_25 0.97 13.30 F002.08 F001.20 F000.77 F000.10 F000.10 F000.03 R359.97 R000.00 359.95
1943-03-07 353_13 019_19 356_06 026_22 299_04 083_10 045_37 038_53 157_11 101_52 119_22 1.00 13.00 F002.07 F001.20 F000.75 F000.05 F000.10 F000.07 R359.98 R000.00 359.95
1943-03-08 354_13 032_19 358_10 027_34 299_49 083_13 045_43 038_57 157_10 101_52 119_19 0.97 12.65 F002.10 F001.20 F000.75 F000.10 F000.10 F000.02 R359.98 R000.00 359.93
1943-03-09 355_11 044_58 000_16 028_46 300_34 083_19 045_49 038_58 157_09 101_52 119_15 0.98 12.35 F002.08 F001.20 F000.75 F000.10 F000.10 F000.05 R359.97 R000.00 359.95
1943-03-10 356_10 057_19 002_21 029_58 301_19 083_25 045_55 039_01 157_07 101_52 119_12 1.00 12.10 F002.07 F001.17 F000.75 F000.08 F000.10 F000.05 R359.97 R000.00 359.95
1943-03-11 357_10 069_25 004_25 031_08 302_04 083_30 046_01 039_04 157_05 101_52 119_09 0.97 11.90 F002.08 F001.22 F000.75 F000.07 F000.10 F000.05 R359.98 R000.00 359.93
1943-03-12 358_08 081_19 006_30 032_21 302_49 083_34 046_07 039_07 157_04 101_52 119_05 0.98 11.85 F002.07 F001.18 F000.75 F000.10 F000.10 F000.05 R359.98 R000.00 359.95
1943-03-13 359_07 093_10 008_34 033_32 303_34 083_40 046_13 039_10 157_03 101_52 119_02 1.00 11.80 F002.02 F001.18 F000.78 F000.10 F000.10 F000.05 R359.97 R000.00 359.97
1943-03-14 000_07 104_58 010_35 034_43 304_21 083_46 046_19 039_13 157_01 101_52 119_00 0.95 11.90 F002.00 F001.20 F000.75 F000.10 F000.10 F000.05 R359.98 R000.00 359.92
1943-03-15 001_04 116_52 012_35 035_55 305_06 083_52 046_25 039_16 157_00 101_52 118_55 1.00 12.10 F001.98 F001.20 F000.75 F000.10 F000.10 F000.05 R359.97 R359.97 359.95
1943-03-16 002_04 128_58 014_34 037_07 305_51 083_58 046_31 039_19 156_58 101_50 118_52 0.97 12.30 F001.95 F001.20 F000.75 F000.10 F000.10 F000.05 R359.97 R000.00 359.95
1943-03-17 003_02 141_16 016_31 038_19 306_36 084_04 046_37 039_22 156_56 101_50 118_49 0.98 12.63 F001.90 F001.18 F000.77 F000.13 F000.10 F000.05 R359.98 R000.00 359.95
1943-03-18 004_01 153_54 018_25 039_30 307_22 084_12 046_43 039_25 156_55 101_50 118_46 0.98 12.93 F001.83 F001.17 F000.75 F000.08 F000.13 F000.05 R359.98 E000.00 359.95
1943-03-19 005_00 166_50 020_15 040_40 308_07 084_17 046_51 039_28 156_54 101_50 118_43 0.97 13.28 F001.80 F001.20 F000.75 F000.13 F000.10 F000.05 R359.97 F000.00 359.95
