2067-01-13 299_34 286_38 292_34 258_25 240_35 250_07 133_49 225_04 066_55 333_52 242_07 1.00 15.12 R358.95 F001.18 F000.68 F000.20 R359.90 F000.02 R359.98 F000.02 359.95
2067-01-14 300_34 301_45 291_31 259_36 241_16 250_19 133_43 225_05 066_54 333_53 242_04 1.00 14.93 R359.05 F001.17 F000.67 F000.18 R359.95 F000.03 R359.97 F000.03 359.95
2067-01-15 301_34 316_41 290_34 260_46 241_56 250_30 133_40 225_07 066_52 333_55 242_01 1.03 14.67 R359.15 F001.20 F000.68 F000.17 R359.90 F000.03 R000.00 F000.00 359.95
2067-01-16 302_36 331_21 289_43 261_58 242_37 250_40 133_34 225_09 066_52 333_55 241_58 1.00 14.22 R359.30 F001.20 F000.68 F000.20 R359.93 F000.02 R359.97 F000.05 359.95
2067-01-17 303_36 345_34 289_01 263_10 243_18 250_52 133_30 225_10 066_50 333_58 241_55 1.02 13.75 R359.40 F001.18 F000.67 F000.15 R359.92 F000.02 R000.00 F000.00 359.95
2067-01-18 304_37 359_19 288_25 264_21 243_58 251_01 133_25 225_11 066_50 333_58 241_52 1.00 13.27 R359.52 F001.20 F000.68 F000.20 R359.92 F000.03 R359.98 F000.03 359.95
2067-01-19 305_37 012_35 287_56 265_33 244_39 251_13 133_20 225_13 066_49 334_00 241_49 1.00 12.83 R359.68 F001.17 F000.67 F000.15 R359.93 F000.03 R000.00 F000.02 359.95
2067-01-20 306_37 025_25 287_37 266_43 245_19 251_22 133_16 225_15 066_49 334_01 241_46 1.00 12.43 R359.77 F001.20 F000.68 F000.20 R359.90 F000.02 R359.97 F000.03 359.92
2067-01-21 307_37 037_51 287_23 267_55 246_00 251_34 133_10 225_16 066_47 334_03 241_41 1.02 12.15 R359.93 F001.20 F000.67 F000.15 R359.92 F000.00 R000.00 F000.02 359.97
2067-01-22 308_38 050_00 287_19 269_07 246_40 251_43 133_05 225_16 066_47 334_04 241_39 1.00 11.92 E000.03 F001.20 F000.67 F000.18 R359.93 F000.03 R359.98 F000.03 359.93
