2057-02-18 333_13 115_05 350_22 326_00 091_34 307_26 357_31 178_30 044_37 323_19 073_54 1.00 13.18 F001.45 R359.42 F000.15 F000.23 F000.10 R359.97 F000.00 F000.05 359.92
2057-02-19 334_13 128_16 351_49 325_25 091_43 307_40 357_37 178_28 044_37 323_22 073_49 1.00 13.57 F001.35 R359.45 F000.15 F000.25 F000.13 R359.95 F000.02 F000.00 359.95
2057-02-20 335_13 141_50 353_10 324_52 091_52 307_55 357_45 178_25 044_38 323_22 073_46 1.00 13.93 F001.27 R359.48 F000.17 F000.20 F000.12 R359.95 F000.03 F000.05 359.95
2057-02-21 336_13 155_46 354_26 324_21 092_02 308_07 357_52 178_22 044_40 323_25 073_43 0.97 14.25 F001.18 R359.50 F000.18 F000.25 F000.13 R359.97 F000.00 F000.00 359.95
2057-02-22 337_11 170_01 355_37 323_51 092_13 308_22 358_00 178_20 044_40 323_25 073_40 1.00 14.40 F001.05 R359.52 F000.20 F000.20 F000.12 R359.98 F000.03 F000.05 359.95
2057-02-23 338_11 184_25 356_40 323_22 092_25 308_34 358_07 178_19 044_42 323_28 073_37 0.98 14.50 F000.95 R359.57 F000.20 F000.23 F000.13 R359.95 F000.02 F000.00 359.95
2057-02-24 339_10 198_55 357_37 322_56 092_37 308_48 358_15 178_16 044_43 323_28 073_34 1.00 14.45 F000.82 R359.62 F000.22 F000.22 F000.12 R359.95 F000.00 F000.05 359.95
2057-02-25 340_10 213_22 358_26 322_33 092_50 309_01 358_22 178_13 044_43 323_31 073_31 1.00 14.40 F000.70 R359.63 F000.23 F000.23 F000.10 R359.95 F000.05 F000.00 359.95
2057-02-26 341_10 227_46 359_08 322_11 093_04 309_15 358_28 178_10 044_46 323_31 073_28 1.00 14.20 F000.58 R359.68 F000.20 F000.22 F000.15 R359.98 F000.00 F000.05 359.95
2057-02-27 342_10 241_58 359_43 321_52 093_16 309_28 358_37 178_09 044_46 323_34 073_25 0.97 14.05 F000.45 R359.73 F000.25 F000.20 F000.10 R359.97 F000.02 F000.00 359.95
2057-02-28 343_08 256_01 000_10 321_36 093_31 309_40 358_43 178_07 044_47 323_34 073_22 0.98 13.87 F000.33 R359.75 F000.25 F000.25 F000.15 R359.95 F000.03 F000.05 359.95
2057-02-29 344_07 269_53 000_30 321_21 093_46 309_55 358_52 178_04 044_49 323_37 073_19 1.00 13.68 F000.20 R359.82 F000.25 F000.20 F000.10 R359.95 F000.03 F000.02 359.93
2057-02-30 345_07 283_34 000_42 321_10 094_01 310_07 358_58 178_01 044_51 323_38 073_15 1.00 13.50 F000.07 R359.83 F000.25 F000.23 F000.15 R359.95 F000.02 F000.03 359.95
2057-02-31 346_07 297_04 000_46 321_00 094_16 310_21 359_07 177_58 044_52 323_40 073_12 0.98 13.35 B359.95 R359.87 F000.25 F000.22 F000.10 R359.97 F000.00 F000.00 359.95
2057-03-01 347_06 310_25 000_43 320_52 094_31 310_34 359_13 177_56 044_52 323_40 073_09 1.00 13.15 R359.85 R359.95 F000.30 F000.20 F000.15 R359.97 F000.05 F000.05 359.93
2057-03-02 348_06 323_34 000_34 320_49 094_49 310_46 359_22 177_54 044_55 323_43 073_05 0.97 12.98 R359.73 R359.95 F000.27 F000.20 F000.10 R359.97 F000.00 F000.00 359.95
2057-03-03 349_04 336_33 000_18 320_46 095_05 310_58 359_28 177_52 044_55 323_43 073_02 1.00 12.77 R359.62 E000.00 F000.28 F000.22 F000.15 R359.95 F000.05 F000.05 359.97
2057-03-04 350_04 349_19 359_55 320_46 095_22 311_11 359_37 177_49 044_58 323_46 073_00 0.98 12.53 R359.52 F000.05 F000.30 F000.23 F000.10 R359.95 F000.00 F000.00 359.92
2057-03-05 351_03 001_51 359_26 320_49 095_40 311_25 359_43 177_46 044_58 323_46 072_55 0.97 12.32 R359.45 F000.10 F000.30 F000.20 F000.15 R359.95 F000.05 F000.05 359.95
2057-03-06 352_01 014_10 358_53 320_55 095_58 311_37 359_52 177_43 045_01 323_49 072_52 1.00 12.13 R359.38 F000.10 F000.30 F000.20 F000.10 R359.95 F000.00 F000.00 359.95
2057-03-07 353_01 026_18 358_16 321_01 096_16 311_49 359_58 177_40 045_01 323_49 072_49 0.98 11.95 R359.30 F000.17 F000.32 F000.23 F000.15 R359.98 F000.05 F000.05 359.95
2057-03-08 354_00 038_15 357_34 321_11 096_35 312_03 000_07 177_39 045_04 323_52 072_46 0.97 11.85 R359.28 F000.18 F000.33 F000.20 F000.13 R359.93 F000.00 F000.00 359.95
2057-03-09 354_58 050_06 356_51 321_22 096_55 312_15 000_15 177_35 045_04 323_52 072_43 1.00 11.77 R359.25 F000.25 F000.33 F000.18 F000.12 R359.98 F000.05 F000.02 359.95
2057-03-10 355_58 061_52 356_06 321_37 097_15 312_26 000_22 177_34 045_07 323_53 072_40 0.97 11.83 R359.22 F000.25 F000.32 F000.23 F000.13 R359.95 F000.00 F000.03 359.95
2057-03-11 356_56 073_42 355_19 321_52 097_34 312_40 000_30 177_31 045_07 323_55 072_37 0.98 11.92 R359.25 F000.30 F000.35 F000.20 F000.12 R359.95 F000.05 F000.02 359.95
