2030-04-04 019_19 034_36 003_28 337_41 024_40 209_41 032_07 052_19 347_46 287_46 234_01 0.98 11.77 R359.82 F001.17 F000.72 R359.88 F000.10 F000.05 F000.03 F000.00 359.95
2030-04-05 020_18 046_22 003_17 338_51 025_23 209_34 032_13 052_22 347_48 287_46 233_58 0.97 11.80 R359.92 F001.15 F000.73 R359.87 F000.15 F000.05 F000.02 F000.00 359.95
2030-04-06 021_16 058_10 003_12 340_00 026_07 209_26 032_22 052_25 347_49 287_46 233_55 0.95 11.87 E359.97 F001.13 F000.73 R359.88 F000.13 F000.05 F000.05 F000.00 359.95
2030-04-07 022_13 070_02 003_10 341_08 026_51 209_19 032_30 052_28 347_52 287_46 233_52 0.97 11.98 F000.05 F001.17 F000.72 R359.87 F000.12 F000.05 F000.02 F000.00 359.95
2030-04-08 023_11 082_01 003_13 342_18 027_34 209_11 032_37 052_31 347_53 287_46 233_49 0.98 12.20 F000.13 F001.13 F000.73 R359.88 F000.13 F000.05 F000.03 F000.00 359.95
2030-04-09 024_10 094_13 003_21 343_26 028_18 209_04 032_45 052_34 347_55 287_46 233_46 0.95 12.45 F000.22 F001.17 F000.72 R359.87 F000.12 F000.05 F000.02 F000.00 359.95
2030-04-10 025_07 106_40 003_34 344_36 029_01 208_56 032_52 052_37 347_56 287_46 233_43 0.98 12.83 F000.28 F001.17 F000.70 R359.88 F000.13 F000.08 F000.03 F000.00 359.93
2030-04-11 026_06 119_30 003_51 345_46 029_43 208_49 033_00 052_42 347_58 287_46 233_39 0.97 13.18 F000.35 F001.15 F000.72 R359.85 F000.12 F000.05 F000.05 F000.03 359.93
2030-04-12 027_04 132_41 004_12 346_55 030_26 208_40 033_07 052_45 348_01 287_48 233_35 0.95 13.68 F000.42 F001.15 F000.73 R359.90 F000.15 F000.03 F000.03 B000.00 359.97
2030-04-13 028_01 146_22 004_37 348_04 031_10 208_34 033_16 052_47 348_03 287_48 233_33 0.98 14.13 F000.50 F001.15 F000.70 R359.85 F000.12 F000.08 F000.02 R000.00 359.95
