2089-01-22 309_00 088_22 294_16 324_33 100_20 203_40 026_19 312_37 116_20 356_49 175_49 1.02 14.92 F001.60 R359.52 R359.78 F000.05 F000.05 F000.05 R359.98 F000.00 359.95
2089-01-23 310_01 103_17 295_52 324_04 100_07 203_43 026_22 312_40 116_19 356_49 175_46 1.00 14.98 F001.65 R359.53 R359.78 F000.00 F000.07 F000.05 R359.97 F000.03 359.95
2089-01-24 311_01 118_16 297_31 323_36 099_54 203_43 026_26 312_43 116_17 356_51 175_43 1.00 14.82 F001.65 R359.47 R359.77 F000.05 F000.07 F000.05 R359.98 F000.02 359.93
2089-01-25 312_01 133_05 299_10 323_04 099_40 203_46 026_30 312_46 116_16 356_52 175_39 1.00 14.58 F001.68 R359.45 R359.80 F000.00 F000.07 F000.08 R359.98 F000.00 359.93
2089-01-26 313_01 147_40 300_51 322_31 099_28 203_46 026_34 312_51 116_15 356_52 175_35 1.00 14.20 F001.67 R359.42 R359.82 F000.03 F000.05 F000.03 R359.97 F000.02 359.97
2089-01-27 314_01 161_52 302_31 321_56 099_17 203_48 026_37 312_53 116_13 356_53 175_33 1.00 13.78 F001.70 R359.42 R359.83 F000.02 F000.07 F000.08 R359.98 F000.03 359.95
2089-01-28 315_01 175_39 304_13 321_21 099_07 203_49 026_41 312_58 116_12 356_55 175_30 1.03 13.32 F001.72 R359.40 R359.85 F000.00 F000.08 F000.05 R359.97 F000.00 359.93
2089-02-01 316_03 188_58 305_56 320_45 098_58 203_49 026_46 313_01 116_10 356_55 175_26 1.00 12.90 F001.75 R359.37 R359.85 F000.00 F000.05 F000.05 R359.98 F000.02 359.93
2089-02-02 317_03 201_52 307_41 320_07 098_49 203_49 026_49 313_04 116_09 356_56 175_22 1.00 12.55 F001.75 R359.38 R359.85 F000.00 F000.07 F000.05 R359.97 F000.03 359.95
2089-02-03 318_03 214_25 309_26 319_30 098_40 203_49 026_53 313_07 116_07 356_58 175_19 1.00 12.25 F001.78 R359.37 R359.90 B000.00 F000.08 F000.05 R359.97 F000.03 359.95
2089-02-04 319_03 226_40 311_13 318_52 098_34 203_49 026_58 313_10 116_05 357_00 175_16 1.00 12.05 F001.80 R359.38 R359.90 R000.00 F000.08 F000.08 R359.98 F000.02 359.95
2089-02-05 320_03 238_43 313_01 318_15 098_28 203_49 027_03 313_15 116_04 357_01 175_13 1.02 11.90 F001.80 R359.37 R359.90 R000.00 F000.07 F000.05 R359.97 F000.00 359.95
2089-02-06 321_04 250_37 314_49 317_37 098_22 203_49 027_07 313_18 116_02 357_01 175_10 1.00 11.85 F001.82 R359.40 R359.90 R000.00 F000.07 F000.07 R359.98 F000.03 359.95
2089-02-07 322_04 262_28 316_38 317_01 098_16 203_49 027_11 313_22 116_01 357_03 175_07 1.00 11.90 F001.83 R359.40 R359.95 R000.00 F000.08 F000.05 R359.98 F000.02 359.95
2089-02-08 323_04 274_22 318_28 316_25 098_13 203_49 027_16 313_25 116_00 357_04 175_04 1.00 11.93 F001.88 R359.43 R359.95 R359.98 F000.10 F000.05 R359.97 F000.00 359.95
2089-02-09 324_04 286_18 320_21 315_51 098_10 203_48 027_22 313_28 115_58 357_04 175_01 1.00 12.07 F001.87 R359.45 R359.95 R359.97 F000.07 F000.05 R359.98 F000.05 359.95
2089-02-10 325_04 298_22 322_13 315_18 098_07 203_46 027_26 313_31 115_57 357_07 174_58 1.00 12.23 F001.90 R359.47 R359.97 R359.98 F000.08 F000.05 R359.97 F000.00 359.95
2089-02-11 326_04 310_36 324_07 314_46 098_05 203_45 027_31 313_34 115_55 357_07 174_55 1.00 12.40 F001.90 R359.50 R359.98 R359.97 F000.10 F000.07 R359.98 F000.02 359.95
2089-02-12 327_04 323_00 326_01 314_16 098_04 203_43 027_37 313_38 115_54 357_08 174_52 1.00 12.60 F001.95 R359.50 E000.00 R359.97 F000.07 F000.05 R359.97 F000.03 359.93
2089-02-13 328_04 335_36 327_58 313_46 098_04 203_41 027_41 313_41 115_52 357_10 174_48 0.98 12.78 F001.95 R359.58 F000.00 R359.98 F000.08 F000.07 R359.97 F000.02 359.95
2089-02-14 329_03 348_23 329_55 313_21 098_04 203_40 027_46 313_45 115_50 357_11 174_45 1.00 13.03 F001.95 R359.57 F000.02 R359.98 F000.10 F000.07 R359.98 F000.03 359.93
2089-02-15 330_03 001_25 331_52 312_55 098_05 203_39 027_52 313_49 115_49 357_13 174_41 1.00 13.20 F001.98 R359.65 F000.03 R359.93 F000.10 F000.05 R359.97 F000.00 359.97
2089-02-16 331_03 014_37 333_51 312_34 098_07 203_35 027_58 313_52 115_47 357_13 174_39 1.00 13.45 F001.97 R359.65 F000.05 R359.98 F000.08 F000.05 R359.98 F000.03 359.93
2089-02-17 332_03 028_04 335_49 312_13 098_10 203_34 028_03 313_55 115_46 357_15 174_35 1.00 13.65 F002.00 R359.72 F000.05 R359.95 F000.07 F000.05 R000.00 F000.02 359.97
2089-02-18 333_03 041_43 337_49 311_56 098_13 203_31 028_07 313_58 115_46 357_16 174_33 0.97 13.85 F002.00 R359.75 F000.07 R359.95 F000.10 F000.05 R359.98 F000.03 359.92
2089-02-19 334_01 055_34 339_49 311_41 098_17 203_28 028_13 314_01 115_45 357_18 174_28 1.00 14.10 F002.00 R359.78 F000.08 R359.95 F000.10 F000.05 R359.97 F000.02 359.95
2089-02-20 335_01 069_40 341_49 311_28 098_22 203_25 028_19 314_04 115_43 357_19 174_25 1.00 14.25 F002.00 R359.85 F000.10 R359.95 F000.10 F000.07 R359.98 F000.03 359.95
2089-02-21 336_01 083_55 343_49 311_19 098_28 203_22 028_25 314_08 115_42 357_21 174_22 1.00 14.40 F001.98 R359.85 F000.10 R359.95 F000.10 F000.05 R359.97 F000.02 359.95
2089-02-22 337_01 098_19 345_48 311_10 098_34 203_19 028_31 314_11 115_40 357_22 174_19 1.00 14.50 F001.97 R359.93 F000.10 R359.95 F000.10 F000.07 R000.00 F000.00 359.95
