1910-02-03 318_55 214_20 294_28 292_36 030_30 170_22 358_10 271_15 084_07 062_15 039_55 1.00 11.97 F001.35 R359.95 F000.60 R359.90 F000.13 F000.05 R359.97 R000.00 359.95
1910-02-04 319_55 226_18 295_49 292_33 031_06 170_16 358_18 271_18 084_05 062_15 039_52 1.02 12.17 F001.40 R359.97 F000.62 R359.90 F000.08 F000.02 R000.00 R000.00 359.95
1910-02-05 320_56 238_28 297_13 292_31 031_43 170_10 358_23 271_19 084_05 062_15 039_49 1.00 12.50 F001.40 E000.00 F000.60 R359.90 F000.13 F000.05 R359.98 R000.00 359.95
1910-02-06 321_56 250_58 298_37 292_31 032_19 170_04 358_31 271_22 084_04 062_15 039_46 1.00 12.88 F001.45 F000.08 F000.60 R359.90 F000.10 F000.05 R000.00 R000.00 359.95
1910-02-07 322_56 263_51 300_04 292_36 032_55 169_58 358_37 271_25 084_04 062_15 039_43 1.00 13.32 F001.45 F000.07 F000.62 R359.90 F000.10 F000.05 R359.97 R000.00 359.95
1910-02-08 323_56 277_10 301_31 292_40 033_32 169_52 358_43 271_28 084_02 062_15 039_40 1.00 13.83 F001.48 F000.15 F000.60 R359.88 F000.13 F000.05 R000.00 R000.00 359.95
1910-02-09 324_56 291_00 303_00 292_49 034_08 169_45 358_51 271_31 084_02 062_15 039_37 1.00 14.25 F001.50 F000.18 F000.63 R359.90 F000.12 F000.03 R359.98 R000.00 359.95
1910-02-10 325_56 305_15 304_30 293_00 034_46 169_39 358_58 271_33 084_01 062_15 039_34 1.00 14.63 F001.52 F000.18 F000.60 R359.87 F000.10 F000.02 R000.00 E000.00 359.95
1910-02-11 326_56 319_53 306_01 293_11 035_22 169_31 359_04 271_34 084_01 062_15 039_31 1.00 14.92 F001.53 F000.23 F000.60 R359.90 F000.12 F000.05 R000.00 F000.00 359.93
1910-02-12 327_56 334_48 307_33 293_25 035_58 169_25 359_11 271_37 084_01 062_15 039_27 0.98 15.00 F001.57 F000.30 F000.63 R359.90 F000.13 F000.05 R359.98 F000.00 359.93
1910-02-13 328_55 349_48 309_07 293_43 036_36 169_19 359_19 271_40 084_00 062_15 039_23 1.00 14.97 F001.57 F000.30 F000.62 R359.87 F000.10 F000.02 R000.00 F000.00 359.97
1910-02-14 329_55 004_46 310_41 294_01 037_13 169_11 359_25 271_41 084_00 062_15 039_21 1.00 14.75 F001.58 F000.35 F000.60 R359.88 F000.13 F000.07 R359.97 F000.00 359.93
1910-02-15 330_55 019_31 312_16 294_22 037_49 169_04 359_33 271_45 083_58 062_15 039_17 1.00 14.50 F001.65 F000.35 F000.60 R359.90 F000.12 F000.02 R000.00 F000.00 359.97
1910-02-16 331_55 034_01 313_55 294_43 038_25 168_58 359_40 271_46 083_58 062_15 039_15 1.00 14.18 F001.63 F000.40 F000.62 R359.87 F000.10 F000.05 R000.00 F000.00 359.95
1910-02-17 332_55 048_12 315_33 295_07 039_02 168_50 359_46 271_49 083_58 062_15 039_12 1.00 13.82 F001.63 F000.43 F000.63 R359.88 F000.12 F000.03 R000.00 F000.00 359.92
1910-02-18 333_55 062_01 317_11 295_33 039_40 168_43 359_53 271_51 083_58 062_15 039_07 1.00 13.50 F001.68 F000.47 F000.60 R359.87 F000.13 F000.02 R000.00 F000.02 359.95
1910-02-19 334_55 075_31 318_52 296_01 040_16 168_35 000_01 271_52 083_58 062_16 039_04 1.00 13.20 F001.70 F000.45 F000.62 R359.88 F000.10 F000.05 R000.00 F000.00 359.95
1910-02-20 335_55 088_43 320_34 296_28 040_53 168_28 000_07 271_55 083_58 062_16 039_01 0.97 12.93 F001.75 F000.53 F000.63 R359.90 F000.13 F000.02 R359.98 F000.00 359.95
1910-02-21 336_53 101_39 322_19 297_00 041_31 168_22 000_15 271_56 083_57 062_16 038_58 1.00 12.72 F001.73 F000.52 F000.60 R359.85 F000.12 F000.03 R000.00 F000.00 359.95
1910-02-22 337_53 114_22 324_03 297_31 042_07 168_13 000_22 271_58 083_57 062_16 038_55 0.98 12.55 F001.77 F000.55 F000.63 R359.90 F000.13 F000.05 R000.00 F000.00 359.95
1910-02-23 338_52 126_55 325_49 298_04 042_45 168_07 000_30 272_01 083_57 062_16 038_52 1.00 12.35 F001.78 F000.60 F000.62 R359.85 F000.12 F000.03 R000.00 F000.00 359.95
1910-02-24 339_52 139_16 327_36 298_40 043_22 167_58 000_37 272_03 083_57 062_16 038_49 1.00 12.20 F001.78 F000.60 F000.60 R359.87 F000.10 F000.02 R359.97 F000.00 359.95
1910-02-25 340_52 151_28 329_23 299_16 043_58 167_50 000_43 272_04 083_55 062_16 038_46 0.98 12.05 F001.83 F000.60 F000.60 R359.88 F000.15 F000.03 R000.00 F000.02 359.95
1910-02-26 341_51 163_31 331_13 299_52 044_34 167_43 000_52 272_06 083_55 062_17 038_43 1.00 11.95 F001.85 F000.65 F000.63 R359.87 F000.10 F000.02 R000.00 F000.00 359.95
1910-02-27 342_51 175_28 333_04 300_31 045_12 167_35 000_58 272_07 083_55 062_17 038_40 0.97 11.87 F001.90 F000.65 F000.62 R359.88 F000.13 F000.05 R000.00 F000.00 359.95
1910-02-28 343_49 187_20 334_58 301_10 045_49 167_28 001_06 272_10 083_55 062_17 038_37 1.00 11.82 F001.88 F000.68 F000.60 R359.87 F000.12 F000.00 E000.00 F000.03 359.92
1910-02-29 344_49 199_09 336_51 301_51 046_25 167_20 001_13 272_10 083_55 062_19 038_32 1.00 11.78 F001.92 F000.70 F000.62 R359.88 F000.13 F000.05 F000.00 F000.00 359.97
1910-02-30 345_49 210_56 338_46 302_33 047_02 167_13 001_21 272_13 083_55 062_19 038_30 0.98 11.83 F001.95 F000.72 F000.63 R359.85 F000.12 F000.00 F000.00 F000.00 359.95
1910-02-31 346_48 222_46 340_43 303_16 047_40 167_04 001_28 272_13 083_55 062_19 038_27 0.97 11.98 F001.95 F000.73 F000.60 R359.90 F000.13 F000.05 F000.00 F000.00 359.93
1910-03-01 347_46 234_45 342_40 304_00 048_16 166_58 001_36 272_16 083_55 062_19 038_23 1.00 12.17 F001.97 F000.75 F000.62 R359.85 F000.12 F000.00 F000.03 F000.03 359.97
1910-03-02 348_46 246_55 344_38 304_45 048_53 166_49 001_43 272_16 083_57 062_21 038_21 0.98 12.45 F002.00 F000.75 F000.63 R359.87 F000.13 F000.05 F000.00 F000.00 359.93
1910-03-03 349_45 259_22 346_38 305_30 049_31 166_41 001_51 272_19 083_57 062_21 038_17 1.00 12.80 F002.03 F000.77 F000.62 R359.88 F000.12 F000.00 F000.00 F000.02 359.93
1910-03-04 350_45 272_10 348_40 306_16 050_08 166_34 001_58 272_19 083_57 062_22 038_13 0.97 13.25 F002.05 F000.80 F000.63 R359.87 F000.13 F000.03 F000.00 F000.00 359.95
1910-03-05 351_43 285_25 350_43 307_04 050_46 166_26 002_06 272_21 083_57 062_22 038_10 1.00 13.75 F002.05 F000.80 F000.60 R359.88 F000.12 F000.02 F000.00 F000.00 359.95
