1956-02-10 326_08 296_18 304_34 009_09 253_25 120_28 219_34 095_16 186_48 123_35 229_11 1.00 12.42 F001.50 F001.12 F000.65 R359.87 F000.00 R359.98 R359.97 R359.98 359.93
1956-02-11 327_08 308_43 306_04 010_16 254_04 120_20 219_34 095_15 186_46 123_34 229_07 1.00 12.70 F001.55 F001.15 F000.65 R359.92 F000.00 R359.97 R359.98 R359.97 359.95
1956-02-12 328_08 321_25 307_37 011_25 254_43 120_15 219_34 095_13 186_45 123_32 229_04 1.00 12.90 F001.55 F001.13 F000.65 R359.90 B000.00 R000.00 R359.97 R359.98 359.95
1956-02-13 329_08 334_19 309_10 012_33 255_22 120_09 219_34 095_13 186_43 123_31 229_01 1.00 13.15 F001.58 F001.12 F000.65 R359.88 R000.00 R359.95 R000.00 R359.98 359.95
1956-02-14 330_08 347_28 310_45 013_40 256_01 120_02 219_34 095_10 186_43 123_30 228_58 0.98 13.35 F001.57 F001.13 F000.65 R359.92 R359.98 R000.00 R359.97 R359.97 359.95
1956-02-15 331_07 000_49 312_19 014_48 256_40 119_57 219_33 095_10 186_41 123_28 228_55 1.00 13.52 F001.62 F001.12 F000.65 R359.88 R000.00 R359.98 R359.98 R000.00 359.95
1956-02-16 332_07 014_20 313_56 015_55 257_19 119_50 219_33 095_09 186_40 123_28 228_52 1.00 13.68 F001.63 F001.10 F000.65 R359.92 R000.00 R359.97 R359.98 R359.98 359.95
1956-02-17 333_07 028_01 315_34 017_01 257_58 119_45 219_33 095_07 186_39 123_27 228_49 1.00 13.80 F001.68 F001.12 F000.65 R359.92 R359.97 R000.00 R359.97 R359.97 359.95
1956-02-18 334_07 041_49 317_15 018_08 258_37 119_40 219_31 095_07 186_37 123_25 228_46 1.00 13.93 F001.67 F001.12 F000.65 R359.90 R000.00 R359.97 R359.97 R359.98 359.95
1956-02-19 335_07 055_45 318_55 019_15 259_16 119_34 219_31 095_05 186_35 123_24 228_43 1.00 14.03 F001.70 F001.12 F000.67 R359.90 R000.00 R359.98 R359.98 R359.97 359.95
1956-02-20 336_07 069_47 320_37 020_22 259_56 119_28 219_31 095_04 186_34 123_22 228_40 0.98 14.18 F001.70 F001.10 F000.67 R359.93 R359.98 R000.00 R000.00 R000.00 359.95
1956-02-21 337_06 083_58 322_19 021_28 260_36 119_24 219_30 095_04 186_34 123_22 228_37 1.00 14.25 F001.75 F001.10 F000.65 R359.92 R359.97 R000.00 R359.95 R359.95 359.93
1956-02-22 338_06 098_13 324_04 022_34 261_15 119_19 219_28 095_04 186_31 123_19 228_33 1.00 14.30 F001.75 F001.10 F000.63 R359.93 R000.00 R359.97 R000.00 R000.00 359.95
1956-02-23 339_06 112_31 325_49 023_40 261_53 119_15 219_28 095_02 186_31 123_19 228_30 0.97 14.30 F001.80 F001.08 F000.67 R359.92 R359.97 R359.98 R359.98 R359.97 359.93
1956-02-24 340_04 126_49 327_37 024_45 262_33 119_10 219_26 095_01 186_30 123_17 228_26 1.00 14.18 F001.80 F001.07 F000.63 R359.92 R359.98 R000.00 R359.97 R359.98 359.97
1956-02-25 341_04 141_00 329_25 025_49 263_11 119_05 219_25 095_01 186_28 123_16 228_24 1.00 14.02 F001.83 F001.10 F000.67 R359.93 R359.98 R000.00 R359.97 R000.00 359.93
1956-02-26 342_04 155_01 331_15 026_55 263_51 119_01 219_24 095_01 186_26 123_16 228_20 0.98 13.75 F001.85 F001.08 F000.65 R359.93 R359.97 R359.98 R359.98 R359.98 359.93
1956-02-27 343_03 168_46 333_06 028_00 264_30 118_57 219_22 095_00 186_25 123_15 228_16 0.97 13.40 F001.87 F001.07 F000.63 R359.95 R359.97 R000.00 R359.98 R359.97 359.95
1956-02-28 344_01 182_10 334_58 029_04 265_08 118_54 219_20 095_00 186_24 123_13 228_13 1.00 13.08 F001.88 F001.05 F000.67 R359.92 R359.98 R359.97 R359.97 R000.00 359.95
1956-02-29 345_01 195_15 336_51 030_07 265_48 118_49 219_19 094_58 186_22 123_13 228_10 1.00 12.72 F001.92 F001.07 F000.63 R359.95 R359.98 R000.00 R359.97 R359.98 359.95
1956-02-30 346_01 207_58 338_46 031_11 266_26 118_46 219_18 094_58 186_20 123_12 228_07 0.98 12.40 F001.92 F001.07 F000.67 R359.95 R359.97 R000.00 R359.98 R359.97 359.95
1956-02-31 347_00 220_22 340_41 032_15 267_06 118_43 219_16 094_58 186_19 123_10 228_04 0.97 12.15 F001.98 F001.03 F000.62 R359.95 R359.95 R000.00 R359.98 R000.00 359.95
1956-03-01 347_58 232_31 342_40 033_17 267_43 118_40 219_13 094_58 186_18 123_10 228_01 1.00 11.95 F001.95 F001.07 F000.65 R359.95 R359.97 R000.00 R359.97 R359.98 359.95
