2032-03-10 356_22 354_55 329_10 342_21 022_18 275_28 054_17 059_34 351_11 290_37 196_33 1.00 14.05 F000.80 F001.22 F000.72 F000.10 F000.10 F000.05 F000.03 F000.02 359.95
2032-03-11 357_22 008_58 329_58 343_34 023_01 275_34 054_23 059_37 351_13 290_38 196_30 0.98 13.75 F000.88 F001.25 F000.70 F000.12 F000.08 F000.05 F000.05 F000.03 359.93
2032-03-12 358_21 022_43 330_51 344_49 023_43 275_41 054_28 059_40 351_16 290_40 196_26 0.97 13.35 F000.92 F001.23 F000.72 F000.12 F000.10 F000.03 F000.05 F000.00 359.97
2032-03-13 359_19 036_04 331_46 346_03 024_26 275_48 054_34 059_42 351_19 290_40 196_24 1.00 13.00 F000.95 F001.22 F000.73 F000.12 F000.10 F000.02 F000.03 F000.02 359.92
2032-03-14 000_19 049_04 332_43 347_16 025_10 275_55 054_40 059_43 351_21 290_41 196_19 0.95 12.63 F001.05 F001.25 F000.70 F000.10 F000.10 F000.05 F000.03 F000.03 359.95
2032-03-15 001_16 061_42 333_46 348_31 025_52 276_01 054_46 059_46 351_23 290_43 196_16 1.00 12.33 F001.05 F001.23 F000.70 F000.10 F000.08 F000.02 F000.03 F000.00 359.95
2032-03-16 002_16 074_02 334_49 349_45 026_34 276_07 054_51 059_47 351_25 290_43 196_13 0.98 12.13 F001.10 F001.22 F000.70 F000.10 F000.10 F000.07 F000.05 F000.00 359.95
2032-03-17 003_15 086_10 335_55 350_58 027_16 276_13 054_57 059_51 351_28 290_43 196_10 0.97 11.95 F001.15 F001.25 F000.73 F000.10 F000.08 F000.02 F000.03 F000.03 359.95
2032-03-18 004_13 098_07 337_04 352_13 028_00 276_19 055_02 059_52 351_30 290_45 196_07 0.98 11.90 F001.20 F001.22 F000.68 F000.07 F000.10 F000.05 F000.02 F000.02 359.95
2032-03-19 005_12 110_01 338_16 353_26 028_41 276_23 055_08 059_55 351_31 290_46 196_04 0.97 11.90 F001.20 F001.23 F000.73 F000.12 F000.12 F000.05 F000.05 F000.00 359.95
