2050-01-16 302_56 226_05 289_55 314_26 232_13 091_24 278_25 145_03 028_49 314_01 211_00 1.00 13.72 F001.65 F001.25 F000.62 R359.92 F000.10 R359.97 F000.00 F000.05 359.92
2050-01-17 303_56 239_48 291_34 315_41 232_50 091_19 278_31 145_01 028_49 314_04 210_55 1.03 14.20 F001.62 F001.25 F000.63 R359.90 F000.10 R359.95 F000.03 F000.03 359.95
2050-01-18 304_58 254_00 293_11 316_56 233_28 091_13 278_37 144_58 028_51 314_06 210_52 1.00 14.63 F001.68 F001.25 F000.62 R359.90 F000.13 R359.95 F000.00 F000.02 359.95
2050-01-19 305_58 268_38 294_52 318_11 234_05 091_07 278_45 144_55 028_51 314_07 210_49 1.00 15.03 F001.65 F001.25 F000.63 R359.90 F000.12 R359.95 F000.02 F000.02 359.95
2050-01-20 306_58 283_40 296_31 319_26 234_43 091_01 278_52 144_52 028_52 314_08 210_46 1.00 15.30 F001.70 F001.25 F000.62 R359.93 F000.10 R359.97 F000.00 F000.03 359.95
2050-01-21 307_58 298_58 298_13 320_41 235_20 090_57 278_58 144_50 028_52 314_10 210_43 1.03 15.35 F001.70 F001.25 F000.63 R359.92 F000.10 R359.97 F000.00 F000.02 359.95
2050-01-22 309_00 314_19 299_55 321_56 235_58 090_52 279_04 144_48 028_52 314_11 210_40 1.00 15.20 F001.75 F001.25 F000.62 R359.90 F000.10 R359.97 F000.02 F000.03 359.95
2050-01-23 310_00 329_31 301_40 323_11 236_35 090_46 279_10 144_46 028_53 314_13 210_37 1.02 14.90 F001.72 F001.25 F000.63 R359.93 F000.13 R359.95 F000.03 F000.03 359.95
2050-01-24 311_01 344_25 303_23 324_26 237_13 090_42 279_18 144_43 028_55 314_15 210_34 1.00 14.47 F001.75 F001.23 F000.62 R359.92 F000.08 R359.95 F000.00 F000.02 359.95
2050-01-25 312_01 358_53 305_08 325_40 237_50 090_37 279_23 144_40 028_55 314_16 210_31 1.00 13.98 F001.78 F001.25 F000.63 R359.95 F000.12 R359.95 F000.00 F000.05 359.95
2050-01-26 313_01 012_52 306_55 326_55 238_28 090_34 279_30 144_37 028_55 314_19 210_28 1.00 13.50 F001.80 F001.25 F000.60 R359.93 F000.12 R359.97 F000.02 F000.00 359.95
2050-01-27 314_01 026_22 308_43 328_10 239_04 090_30 279_37 144_35 028_56 314_19 210_25 1.00 13.02 F001.80 F001.25 F000.62 R359.92 F000.10 R359.97 F000.03 F000.05 359.92
2050-01-28 315_01 039_23 310_31 329_25 239_41 090_25 279_43 144_33 028_58 314_22 210_20 1.00 12.65 F001.80 F001.25 F000.63 R359.95 F000.10 R359.97 F000.00 F000.02 359.97
2050-02-01 316_01 052_02 312_19 330_40 240_19 090_22 279_49 144_31 028_58 314_23 210_18 1.03 12.37 F001.85 F001.25 F000.62 R359.92 F000.10 R359.95 F000.03 F000.03 359.95
2050-02-02 317_03 064_24 314_10 331_55 240_56 090_17 279_55 144_28 029_00 314_25 210_15 1.00 12.12 F001.85 F001.25 F000.63 R359.97 F000.10 R359.95 F000.02 F000.02 359.93
2050-02-03 318_03 076_31 316_01 333_10 241_34 090_15 280_01 144_25 029_01 314_26 210_11 1.00 11.98 F001.87 F001.25 F000.60 R359.92 F000.10 R359.95 F000.00 F000.03 359.97
2050-02-04 319_03 088_30 317_53 334_25 242_10 090_10 280_07 144_22 029_01 314_28 210_09 1.00 11.87 F001.88 F001.22 F000.63 R359.95 F000.10 R359.95 F000.03 F000.03 359.93
2050-02-05 320_03 100_22 319_46 335_38 242_48 090_07 280_13 144_19 029_03 314_30 210_05 1.00 11.88 F001.90 F001.25 F000.62 R359.97 F000.10 R359.98 F000.02 F000.02 359.93
2050-02-06 321_03 112_15 321_40 336_53 243_25 090_05 280_19 144_18 029_04 314_31 210_01 1.00 11.87 F001.93 F001.25 F000.60 R359.95 F000.10 R359.95 F000.00 F000.05 359.95
2050-02-07 322_03 124_07 323_36 338_08 244_01 090_02 280_25 144_15 029_04 314_34 209_58 1.00 11.90 F001.92 F001.23 F000.63 R359.97 F000.10 R359.93 F000.03 F000.00 359.95
2050-02-08 323_03 136_01 325_31 339_22 244_39 090_00 280_31 144_11 029_06 314_34 209_55 1.00 11.95 F001.95 F001.25 F000.62 R359.97 F000.10 R359.98 F000.02 F000.05 359.95
2050-02-09 324_03 147_58 327_28 340_37 245_16 089_58 280_37 144_10 029_07 314_37 209_52 1.00 12.08 F001.95 F001.25 F000.60 R359.95 F000.10 R359.95 F000.00 F000.00 359.95
2050-02-10 325_03 160_03 329_25 341_52 245_52 089_55 280_43 144_07 029_07 314_37 209_49 1.00 12.13 F001.95 F001.25 F000.63 R359.98 F000.10 R359.95 F000.02 F000.05 359.95
2050-02-11 326_03 172_11 331_22 343_07 246_30 089_54 280_49 144_04 029_08 314_40 209_46 1.00 12.28 F001.95 F001.23 F000.58 R359.97 F000.10 R359.95 F000.03 F000.02 359.95
2050-02-12 327_03 184_28 333_19 344_21 247_05 089_52 280_55 144_01 029_10 314_41 209_43 1.00 12.45 F001.98 F001.25 F000.63 R359.97 F000.08 R359.95 F000.02 F000.03 359.95
2050-02-13 328_03 196_55 335_18 345_36 247_43 089_50 281_00 143_58 029_11 314_43 209_40 1.00 12.67 F001.97 F001.22 F000.60 R359.98 F000.10 R359.97 F000.03 F000.03 359.95
2050-02-14 329_03 209_35 337_16 346_49 248_19 089_49 281_06 143_56 029_13 314_45 209_37 1.00 12.93 F001.95 F001.25 F000.62 R359.97 F000.07 R359.97 F000.03 F000.02 359.95
2050-02-15 330_03 222_31 339_13 348_04 248_56 089_47 281_10 143_54 029_15 314_46 209_34 0.97 13.23 F001.95 F001.25 F000.62 R359.98 F000.10 R359.93 F000.02 F000.03 359.95
2050-02-16 331_01 235_45 341_10 349_19 249_33 089_46 281_16 143_50 029_16 314_48 209_31 1.00 13.58 F001.93 F001.23 F000.62 R000.00 F000.10 R359.98 F000.00 F000.02 359.92
2050-02-17 332_01 249_20 343_06 350_33 250_10 089_46 281_22 143_49 029_16 314_49 209_26 1.00 14.02 F001.90 F001.22 F000.60 R000.00 F000.10 R359.95 F000.05 F000.03 359.97
2050-02-18 333_01 263_21 345_00 351_46 250_46 089_46 281_28 143_46 029_19 314_51 209_24 1.00 14.37 F001.87 F001.25 F000.60 R000.00 F000.08 R359.95 F000.00 F000.02 359.93
2050-02-19 334_01 277_43 346_52 353_01 251_22 089_46 281_33 143_43 029_19 314_52 209_20 1.00 14.72 F001.85 F001.25 F000.60 R000.00 F000.07 R359.95 F000.05 F000.02 359.97
2050-02-20 335_01 292_26 348_43 354_16 251_58 089_46 281_37 143_40 029_22 314_53 209_18 1.00 15.00 F001.80 F001.23 F000.62 E000.00 F000.10 R359.98 F000.00 F000.03 359.95
2050-02-21 336_01 307_26 350_31 355_30 252_35 089_46 281_43 143_39 029_22 314_55 209_15 1.00 15.12 F001.75 F001.22 F000.60 F000.00 F000.08 R359.93 F000.05 F000.05 359.93
2050-02-22 337_01 322_33 352_16 356_43 253_11 089_46 281_48 143_35 029_25 314_58 209_11 0.98 15.05 F001.70 F001.25 F000.62 F000.00 F000.07 R359.98 F000.00 F000.00 359.93
2050-02-23 338_00 337_36 353_58 357_58 253_48 089_46 281_52 143_34 029_25 314_58 209_07 1.00 14.82 F001.65 F001.22 F000.62 F000.00 F000.10 R359.95 F000.05 F000.05 359.95
2050-02-24 339_00 352_25 355_37 359_11 254_25 089_46 281_58 143_31 029_28 315_01 209_04 0.97 14.50 F001.55 F001.23 F000.60 F000.02 F000.08 R359.95 F000.00 F000.00 359.95
2050-02-25 339_58 006_55 357_10 000_25 255_01 089_47 282_03 143_28 029_28 315_01 209_01 1.00 14.05 F001.47 F001.25 F000.60 F000.03 F000.07 R359.95 F000.05 F000.05 359.95
2050-02-26 340_58 020_58 358_38 001_40 255_37 089_49 282_07 143_25 029_31 315_04 208_58 1.00 13.63 F001.42 F001.22 F000.60 F000.00 F000.10 R359.98 F000.03 F000.00 359.95
2050-02-27 341_58 034_36 000_03 002_53 256_13 089_49 282_13 143_24 029_33 315_04 208_55 1.00 13.15 F001.30 F001.23 F000.60 F000.02 F000.05 R359.93 F000.02 F000.05 359.95
2050-02-28 342_58 047_45 001_21 004_07 256_49 089_50 282_16 143_20 029_34 315_07 208_52 0.97 12.75 F001.18 F001.25 F000.60 F000.03 F000.10 R359.98 F000.03 F000.00 359.95
2050-02-29 343_56 060_30 002_32 005_22 257_25 089_52 282_22 143_19 029_36 315_07 208_49 0.98 12.42 F001.10 F001.22 F000.58 F000.03 F000.05 R359.95 F000.02 F000.05 359.95
2050-02-30 344_55 072_55 003_38 006_35 258_00 089_54 282_25 143_16 029_37 315_10 208_46 1.00 12.15 F001.02 F001.23 F000.60 F000.02 F000.10 R359.95 F000.02 F000.00 359.95
2050-02-31 345_55 085_04 004_39 007_49 258_36 089_55 282_31 143_13 029_38 315_10 208_43 1.00 12.00 F000.87 F001.23 F000.58 F000.05 F000.05 R359.97 F000.03 F000.02 359.95
2050-03-01 346_55 097_04 005_31 009_03 259_11 089_58 282_34 143_11 029_40 315_11 208_40 0.97 11.88 F000.77 F001.22 F000.58 F000.05 F000.10 R359.97 F000.05 F000.03 359.95
2050-03-02 347_53 108_57 006_17 010_16 259_46 090_01 282_40 143_09 029_43 315_13 208_37 0.98 11.83 F000.68 F001.25 F000.60 F000.02 F000.05 R359.97 F000.03 F000.03 359.93
2050-03-03 348_52 120_47 006_58 011_31 260_22 090_02 282_43 143_07 029_45 315_15 208_33 1.00 11.88 F000.53 F001.20 F000.60 F000.05 F000.08 R359.95 F000.02 F000.02 359.95
2050-03-04 349_52 132_40 007_30 012_43 260_58 090_05 282_48 143_04 029_46 315_16 208_30 0.98 11.98 F000.42 F001.25 F000.60 F000.07 F000.07 R359.98 F000.03 F000.03 359.93
2050-03-05 350_51 144_39 007_55 013_58 261_34 090_09 282_52 143_03 029_48 315_18 208_26 0.97 12.07 F000.30 F001.22 F000.57 F000.05 F000.05 R359.95 F000.02 F000.02 359.97
2050-03-06 351_49 156_43 008_13 015_11 262_08 090_12 282_55 143_00 029_49 315_19 208_24 1.00 12.22 F000.18 F001.23 F000.58 F000.05 F000.08 R359.97 F000.05 F000.03 359.93
2050-03-07 352_49 168_56 008_24 016_25 262_43 090_15 283_00 142_58 029_52 315_21 208_20 1.00 12.38 F000.07 F001.22 F000.60 F000.07 F000.07 R359.95 F000.02 F000.02 359.97
2050-03-08 353_49 181_19 008_28 017_38 263_19 090_19 283_04 142_55 029_53 315_22 208_18 0.95 12.55 B359.95 F001.23 F000.60 F000.05 F000.05 R359.98 F000.03 F000.02 359.92
2050-03-09 354_46 193_52 008_25 018_52 263_55 090_22 283_07 142_54 029_55 315_23 208_13 1.00 12.72 R359.85 F001.20 F000.58 F000.05 F000.05 R359.97 F000.05 F000.03 359.95
2050-03-10 355_46 206_35 008_16 020_04 264_30 090_25 283_10 142_52 029_58 315_25 208_10 0.98 12.93 R359.75 F001.25 F000.57 F000.08 F000.08 R359.95 F000.03 F000.00 359.95
2050-03-11 356_45 219_31 008_01 021_19 265_04 090_30 283_15 142_49 030_00 315_25 208_07 0.97 13.17 R359.65 F001.20 F000.57 F000.07 F000.05 R359.98 F000.02 F000.05 359.95
2050-03-12 357_43 232_41 007_40 022_31 265_38 090_34 283_18 142_48 030_01 315_28 208_04 1.00 13.43 R359.55 F001.23 F000.58 F000.05 F000.05 R359.97 F000.05 F000.00 359.95
2050-03-13 358_43 246_07 007_13 023_45 266_13 090_37 283_21 142_46 030_04 315_28 208_01 0.97 13.65 R359.50 F001.22 F000.60 F000.08 F000.07 R359.95 F000.00 F000.03 359.95
2050-03-14 359_41 259_46 006_43 024_58 266_49 090_42 283_25 142_43 030_04 315_30 207_58 0.98 13.95 R359.43 F001.22 F000.55 F000.07 F000.05 R359.97 F000.05 F000.02 359.95
2050-03-15 000_40 273_43 006_09 026_11 267_22 090_46 283_28 142_41 030_07 315_31 207_55 0.97 14.20 R359.37 F001.23 F000.60 F000.10 F000.05 R359.98 F000.05 F000.03 359.95
2050-03-16 001_38 287_55 005_31 027_25 267_58 090_52 283_31 142_40 030_10 315_33 207_52 0.98 14.40 R359.30 F001.20 F000.55 F000.08 F000.05 R359.95 F000.02 F000.02 359.95
2050-03-17 002_37 302_19 004_49 028_37 268_31 090_57 283_34 142_37 030_11 315_34 207_49 1.00 14.60 R359.30 F001.23 F000.58 F000.07 F000.05 R000.00 F000.03 F000.00 359.95
2050-03-18 003_37 316_55 004_07 029_51 269_06 091_01 283_37 142_37 030_13 315_34 207_46 0.97 14.65 R359.30 F001.22 F000.57 F000.10 F000.05 R359.95 F000.05 F000.03 359.95
2050-03-19 004_35 331_34 003_25 031_04 269_40 091_07 283_40 142_34 030_16 315_36 207_43 0.98 14.65 R359.28 F001.20 F000.58 F000.08 F000.05 R359.98 F000.03 F000.02 359.93
2050-03-20 005_34 346_13 002_42 032_16 270_15 091_12 283_43 142_33 030_18 315_37 207_39 0.97 14.50 R359.27 F001.23 F000.55 F000.08 F000.03 R359.97 F000.02 F000.00 359.93
2050-03-21 006_32 000_43 001_58 033_30 270_48 091_17 283_45 142_31 030_19 315_37 207_35 0.98 14.25 R359.33 F001.22 F000.57 F000.12 F000.05 R359.98 F000.05 F000.05 359.97
2050-03-22 007_31 014_58 001_18 034_43 271_22 091_24 283_48 142_30 030_22 315_40 207_33 0.98 13.95 R359.37 F001.20 F000.55 F000.10 F000.05 R359.97 F000.02 F000.00 359.95
2050-03-23 008_30 028_55 000_40 035_55 271_55 091_30 283_51 142_28 030_23 315_40 207_30 0.97 13.55 R359.40 F001.20 F000.55 F000.08 F000.02 R359.97 F000.03 F000.02 359.93
2050-03-24 009_28 042_28 000_04 037_07 272_28 091_35 283_52 142_26 030_25 315_41 207_26 0.97 13.17 R359.45 F001.23 F000.58 F000.12 F000.05 R359.98 F000.05 F000.03 359.97
