1942-01-20 307_40 002_52 288_55 282_40 028_01 048_42 029_18 033_25 156_10 101_01 141_09 1.00 12.20 R359.77 R359.90 F000.60 F000.05 F000.05 F000.00 R000.00 R359.98 359.93
1942-01-21 308_40 015_04 288_41 282_34 028_37 048_45 029_21 033_25 156_10 101_00 141_05 1.00 12.05 R359.88 R359.93 F000.55 F000.03 F000.03 F000.03 R359.98 R359.97 359.93
1942-01-22 309_40 027_07 288_34 282_30 029_10 048_47 029_23 033_27 156_09 100_58 141_01 1.02 11.90 E000.00 R359.97 F000.60 F000.07 F000.05 F000.02 R359.97 R000.00 359.95
1942-01-23 310_41 039_01 288_34 282_28 029_46 048_51 029_26 033_28 156_07 100_58 140_58 1.00 11.90 F000.10 E000.00 F000.55 F000.07 F000.08 F000.00 R359.97 R359.98 359.95
1942-01-24 311_41 050_55 288_40 282_28 030_19 048_55 029_31 033_28 156_05 100_57 140_55 1.00 11.90 F000.22 F000.05 F000.60 F000.05 F000.05 F000.03 R359.98 R359.97 359.95
1942-01-25 312_41 062_49 288_53 282_31 030_55 048_58 029_34 033_30 156_04 100_55 140_52 1.03 12.02 F000.33 F000.10 F000.58 F000.05 F000.05 F000.02 R359.98 R000.00 359.95
1942-01-26 313_43 074_50 289_13 282_37 031_30 049_01 029_37 033_31 156_03 100_55 140_49 1.00 12.23 F000.40 F000.13 F000.57 F000.10 F000.05 F000.00 R359.97 R359.98 359.95
1942-01-27 314_43 087_04 289_37 282_45 032_04 049_07 029_40 033_31 156_01 100_54 140_46 1.00 12.45 F000.48 F000.13 F000.60 F000.05 F000.08 F000.05 R359.98 R359.97 359.95
1942-01-28 315_43 099_31 290_06 282_53 032_40 049_10 029_45 033_34 156_00 100_52 140_43 1.00 12.70 F000.57 F000.23 F000.55 F000.08 F000.07 F000.00 R359.97 R359.97 359.95
1942-02-01 316_43 112_13 290_40 283_07 033_13 049_15 029_49 033_34 155_58 100_50 140_40 1.00 13.03 F000.63 F000.23 F000.60 F000.07 F000.05 F000.03 R359.97 R359.98 359.95
1942-02-02 317_43 125_15 291_18 283_21 033_49 049_19 029_52 033_36 155_56 100_49 140_37 1.00 13.30 F000.70 F000.27 F000.60 F000.10 F000.07 F000.02 R359.98 R000.00 359.95
1942-02-03 318_43 138_33 292_00 283_37 034_25 049_25 029_56 033_37 155_55 100_49 140_34 1.00 13.57 F000.77 F000.30 F000.58 F000.08 F000.08 F000.02 R359.95 R359.97 359.95
1942-02-04 319_43 152_07 292_46 283_55 035_00 049_30 030_01 033_38 155_52 100_47 140_31 1.00 13.85 F000.83 F000.33 F000.57 F000.07 F000.05 F000.03 R000.00 R359.98 359.92
1942-02-05 320_43 165_58 293_36 284_15 035_34 049_34 030_04 033_40 155_52 100_46 140_26 1.00 14.00 F000.87 F000.37 F000.60 F000.10 F000.10 F000.03 R359.95 R000.00 359.97
1942-02-06 321_43 179_58 294_28 284_37 036_10 049_40 030_10 033_42 155_49 100_46 140_24 1.00 14.15 F000.95 F000.40 F000.58 F000.10 F000.05 F000.02 R000.00 R359.98 359.93
1942-02-07 322_43 194_07 295_25 285_01 036_45 049_46 030_13 033_43 155_49 100_45 140_20 1.00 14.22 F000.97 F000.40 F000.57 F000.08 F000.08 F000.03 R359.95 R359.97 359.97
1942-02-08 323_43 208_20 296_23 285_25 037_19 049_51 030_18 033_45 155_46 100_43 140_18 1.00 14.25 F001.03 F000.47 F000.60 F000.10 F000.07 F000.02 R359.98 R000.00 359.95
1942-02-09 324_43 222_35 297_25 285_53 037_55 049_57 030_22 033_46 155_45 100_43 140_15 1.00 14.23 F001.05 F000.48 F000.60 F000.08 F000.10 F000.05 R359.97 R359.98 359.93
1942-02-10 325_43 236_49 298_28 286_22 038_31 050_02 030_28 033_49 155_43 100_42 140_11 1.00 14.15 F001.10 F000.50 F000.58 F000.10 F000.05 F000.00 R359.97 R000.00 359.93
1942-02-11 326_43 250_58 299_34 286_52 039_06 050_08 030_31 033_49 155_41 100_42 140_07 1.00 14.05 F001.15 F000.55 F000.60 F000.13 F000.10 F000.05 R359.98 R359.97 359.95
1942-02-12 327_43 265_01 300_43 287_25 039_42 050_16 030_37 033_52 155_40 100_40 140_04 1.00 13.95 F001.20 F000.55 F000.57 F000.10 F000.07 F000.02 R359.98 R000.00 359.95
1942-02-13 328_43 278_58 301_55 287_58 040_16 050_22 030_41 033_53 155_39 100_40 140_01 1.00 13.75 F001.20 F000.58 F000.60 F000.10 F000.08 F000.03 R359.97 R359.98 359.95
1942-02-14 329_43 292_43 303_07 288_33 040_52 050_28 030_46 033_55 155_37 100_39 139_58 1.00 13.58 F001.25 F000.58 F000.60 F000.13 F000.10 F000.05 R359.97 R359.97 359.95
1942-02-15 330_43 306_18 304_22 289_08 041_28 050_36 030_52 033_58 155_35 100_37 139_55 1.00 13.37 F001.25 F000.63 F000.60 F000.12 F000.07 F000.03 R359.98 R000.00 359.95
1942-02-16 331_43 319_40 305_37 289_46 042_04 050_43 030_56 034_00 155_34 100_37 139_52 1.00 13.13 F001.30 F000.65 F000.60 F000.10 F000.08 F000.02 R359.95 R000.00 359.95
1942-02-17 332_43 332_48 306_55 290_25 042_40 050_49 031_01 034_01 155_31 100_37 139_49 1.00 12.87 F001.35 F000.65 F000.60 F000.13 F000.10 F000.05 R000.00 R359.97 359.95
1942-02-18 333_43 345_40 308_16 291_04 043_16 050_57 031_07 034_04 155_31 100_35 139_46 0.97 12.65 F001.35 F000.68 F000.58 F000.12 F000.10 F000.03 R359.95 R359.98 359.95
1942-02-19 334_41 358_19 309_37 291_45 043_51 051_04 031_13 034_06 155_28 100_34 139_43 1.00 12.40 F001.40 F000.68 F000.60 F000.13 F000.08 F000.02 R359.97 R000.00 359.95
1942-02-20 335_41 010_43 311_01 292_26 044_27 051_12 031_18 034_07 155_26 100_34 139_40 1.00 12.20 F001.40 F000.73 F000.58 F000.12 F000.08 F000.05 R359.98 R000.00 359.95
1942-02-21 336_41 022_55 312_25 293_10 045_02 051_19 031_23 034_10 155_25 100_34 139_37 0.98 12.03 F001.43 F000.70 F000.60 F000.13 F000.12 F000.05 R359.98 R359.97 359.93
1942-02-22 337_40 034_57 313_51 293_52 045_38 051_27 031_30 034_13 155_24 100_32 139_33 1.00 11.92 F001.47 F000.75 F000.62 F000.12 F000.07 F000.03 R359.97 R000.00 359.95
1942-02-23 338_40 046_52 315_19 294_37 046_15 051_34 031_34 034_15 155_22 100_32 139_30 1.00 11.88 F001.48 F000.77 F000.57 F000.15 F000.10 F000.02 R359.97 R359.98 359.93
1942-02-24 339_40 058_45 316_48 295_23 046_49 051_43 031_40 034_16 155_20 100_31 139_26 1.00 11.90 F001.50 F000.78 F000.60 F000.15 F000.10 F000.05 R359.98 R000.00 359.97
1942-02-25 340_40 070_39 318_18 296_10 047_25 051_52 031_46 034_19 155_19 100_31 139_24 0.97 12.02 F001.52 F000.80 F000.60 F000.13 F000.10 F000.05 R359.95 R000.00 359.93
1942-02-26 341_38 082_40 319_49 296_58 048_01 052_00 031_52 034_22 155_16 100_31 139_20 1.00 12.17 F001.55 F000.80 F000.60 F000.13 F000.10 F000.05 R000.00 R359.98 359.93
1942-02-27 342_38 094_50 321_22 297_46 048_37 052_08 031_58 034_25 155_16 100_30 139_16 0.98 12.48 F001.60 F000.80 F000.60 F000.13 F000.10 F000.03 R359.95 R000.00 359.95
1942-02-28 343_37 107_19 322_58 298_34 049_13 052_16 032_04 034_27 155_13 100_30 139_13 1.00 12.75 F001.60 F000.85 F000.60 F000.15 F000.10 F000.05 R359.97 R359.97 359.95
1942-02-29 344_37 120_04 324_34 299_25 049_49 052_25 032_10 034_30 155_11 100_28 139_10 0.98 13.15 F001.62 F000.83 F000.60 F000.15 F000.10 F000.02 R359.98 R000.00 359.95
1942-02-30 345_36 133_13 326_11 300_15 050_25 052_34 032_16 034_31 155_10 100_28 139_07 1.00 13.55 F001.63 F000.85 F000.60 F000.15 F000.10 F000.05 R359.98 R000.00 359.95
