1918-01-16 303_48 007_34 285_34 294_16 159_25 039_27 107_10 301_08 102_27 070_54 245_52 1.02 14.07 F001.55 R359.48 R359.83 F000.07 R359.90 F000.05 R359.97 R359.97 359.95
1918-01-17 304_49 021_38 287_07 293_45 159_15 039_31 107_04 301_11 102_25 070_52 245_49 1.00 13.68 F001.52 R359.50 R359.82 F000.08 R359.95 F000.08 R359.98 R000.00 359.95
1918-01-18 305_49 035_19 288_38 293_15 159_04 039_36 107_01 301_16 102_24 070_52 245_46 1.00 13.28 F001.58 R359.52 R359.80 F000.07 R359.90 F000.05 R359.97 R000.00 359.95
1918-01-19 306_49 048_36 290_13 292_46 158_52 039_40 106_55 301_19 102_22 070_52 245_43 1.00 12.92 F001.58 R359.55 R359.80 F000.08 R359.95 F000.05 R359.97 R359.97 359.95
1918-01-20 307_49 061_31 291_48 292_19 158_40 039_45 106_52 301_22 102_20 070_50 245_40 1.00 12.65 F001.57 R359.60 R359.80 F000.07 R359.92 F000.05 R359.98 R359.98 359.95
1918-01-21 308_49 074_10 293_22 291_55 158_28 039_49 106_47 301_25 102_19 070_49 245_37 1.03 12.45 F001.63 R359.63 R359.78 F000.10 R359.93 F000.05 R359.97 R000.00 359.95
1918-01-22 309_51 086_37 295_00 291_33 158_15 039_55 106_43 301_28 102_17 070_49 245_34 1.00 12.25 F001.62 R359.67 R359.77 F000.08 R359.93 F000.08 R359.98 R000.00 359.95
1918-01-23 310_51 098_52 296_37 291_13 158_01 040_00 106_39 301_33 102_16 070_49 245_31 1.02 12.10 F001.65 R359.70 R359.75 F000.07 R359.92 F000.05 R359.98 R000.00 359.95
1918-01-24 311_52 110_58 298_16 290_55 157_46 040_04 106_34 301_36 102_15 070_49 245_28 1.00 12.05 F001.65 R359.75 R359.73 F000.10 R359.95 F000.07 R359.97 R359.97 359.95
1918-01-25 312_52 123_01 299_55 290_40 157_30 040_10 106_31 301_40 102_13 070_47 245_25 1.00 11.95 F001.68 R359.80 R359.72 F000.10 R359.93 F000.05 R359.98 R000.00 359.95
1918-01-26 313_52 134_58 301_36 290_28 157_13 040_16 106_27 301_43 102_12 070_47 245_22 1.00 11.90 F001.67 R359.80 R359.70 F000.10 R359.92 F000.05 R359.97 R359.98 359.93
1918-01-27 314_52 146_52 303_16 290_16 156_55 040_22 106_22 301_46 102_10 070_46 245_18 1.00 11.88 F001.70 R359.90 R359.73 F000.10 R359.95 F000.05 R359.98 R000.00 359.95
1918-01-28 315_52 158_45 304_58 290_10 156_39 040_28 106_19 301_49 102_09 070_46 245_15 1.00 11.87 F001.75 R359.90 R359.67 F000.10 R359.93 F000.05 R359.97 R000.00 359.93
1918-02-01 316_52 170_37 306_43 290_04 156_19 040_34 106_15 301_52 102_07 070_46 245_11 1.00 11.90 F001.72 R359.95 R359.70 F000.10 R359.92 F000.07 R359.97 R000.00 359.97
1918-02-02 317_52 182_31 308_26 290_01 156_01 040_40 106_10 301_56 102_05 070_46 245_09 1.00 12.00 F001.78 E000.00 R359.67 F000.12 R359.95 F000.07 R359.98 R000.00 359.93
1918-02-03 318_52 194_31 310_13 290_01 155_41 040_47 106_07 302_00 102_04 070_46 245_05 1.00 12.10 F001.75 F000.03 R359.68 F000.10 R359.95 F000.05 R000.00 R359.98 359.97
1918-02-04 319_52 206_37 311_58 290_03 155_22 040_53 106_04 302_03 102_04 070_45 245_03 1.02 12.32 F001.80 F000.07 R359.65 F000.13 R359.93 F000.07 R359.97 R000.00 359.92
1918-02-05 320_53 218_56 313_46 290_07 155_01 041_01 106_00 302_07 102_02 070_45 244_58 1.00 12.58 F001.83 F000.10 R359.65 F000.10 R359.92 F000.05 R359.98 R000.00 359.95
1918-02-06 321_53 231_31 315_36 290_13 154_40 041_07 105_55 302_10 102_01 070_45 244_55 1.00 12.95 F001.82 F000.15 R359.65 F000.13 R359.95 F000.05 R359.98 R000.00 359.95
1918-02-07 322_53 244_28 317_25 290_22 154_19 041_15 105_52 302_13 102_00 070_45 244_52 1.00 13.40 F001.85 F000.20 R359.62 F000.12 R359.95 F000.05 R359.97 R359.97 359.95
1918-02-08 323_53 257_52 319_16 290_34 153_56 041_22 105_49 302_16 101_58 070_43 244_49 1.00 13.85 F001.87 F000.23 R359.63 F000.13 R359.95 F000.05 R000.00 R000.00 359.95
1918-02-09 324_53 271_43 321_08 290_48 153_34 041_30 105_46 302_19 101_58 070_43 244_46 1.00 14.35 F001.88 F000.25 R359.65 F000.12 R359.95 F000.05 R359.98 R000.00 359.95
1918-02-10 325_53 286_04 323_01 291_03 153_13 041_37 105_43 302_22 101_57 070_43 244_43 1.00 14.80 F001.90 F000.30 R359.60 F000.13 R359.95 F000.07 R359.97 R000.00 359.95
