1913-02-17 333_08 077_31 349_08 014_19 297_06 261_31 036_31 283_37 090_39 065_22 341_07 1.00 14.15 F000.13 F000.55 F000.77 F000.15 F000.08 F000.05 R000.00 F000.00 359.93
1913-02-18 334_08 091_40 349_16 014_52 297_52 261_40 036_36 283_40 090_39 065_22 341_03 1.00 14.50 B000.00 F000.53 F000.77 F000.15 F000.07 F000.02 R359.97 F000.00 359.95
1913-02-19 335_08 106_10 349_16 015_24 298_38 261_49 036_40 283_41 090_37 065_22 341_00 0.98 14.85 R359.90 F000.52 F000.78 F000.10 F000.10 F000.07 R000.00 F000.00 359.93
1913-02-20 336_07 121_01 349_10 015_55 299_25 261_55 036_46 283_45 090_37 065_22 340_56 1.00 15.03 R359.72 F000.47 F000.77 F000.15 F000.08 F000.02 R000.00 F000.00 359.95
1913-02-21 337_07 136_03 348_53 016_23 300_11 262_04 036_51 283_46 090_37 065_22 340_53 1.00 15.07 R359.63 F000.47 F000.78 F000.12 F000.07 F000.05 R000.00 F000.00 359.97
1913-02-22 338_07 151_07 348_31 016_51 300_58 262_11 036_55 283_49 090_37 065_22 340_51 1.00 15.00 R359.50 F000.42 F000.75 F000.13 F000.10 F000.05 R359.97 F000.00 359.95
1913-02-23 339_07 166_07 348_01 017_16 301_43 262_19 037_01 283_52 090_35 065_22 340_48 0.98 14.80 R359.42 F000.40 F000.80 F000.12 F000.10 F000.02 R000.00 F000.00 359.92
1913-02-24 340_06 180_55 347_26 017_40 302_31 262_26 037_07 283_53 090_35 065_22 340_43 1.00 14.42 R359.33 F000.38 F000.75 F000.13 F000.08 F000.03 R359.98 F000.00 359.95
1913-02-25 341_06 195_20 346_46 018_03 303_16 262_34 037_12 283_55 090_34 065_22 340_40 0.97 14.03 R359.25 F000.32 F000.80 F000.10 F000.08 F000.05 R000.00 F000.00 359.95
1913-02-26 342_04 209_22 346_01 018_22 304_04 262_40 037_17 283_58 090_34 065_22 340_37 1.00 13.57 R359.20 F000.30 F000.75 F000.13 F000.10 F000.05 R000.00 F000.03 359.95
1913-02-27 343_04 222_56 345_13 018_40 304_49 262_48 037_23 284_01 090_34 065_24 340_34 1.00 13.15 R359.17 F000.27 F000.80 F000.12 F000.08 F000.03 R000.00 F000.00 359.95
1913-02-28 344_04 236_05 344_23 018_56 305_37 262_55 037_28 284_03 090_34 065_24 340_31 0.98 12.75 R359.17 F000.25 F000.75 F000.10 F000.10 F000.02 R000.00 F000.00 359.95
1913-02-29 345_03 248_50 343_33 019_11 306_22 263_01 037_34 284_04 090_34 065_24 340_28 0.97 12.42 R359.13 F000.20 F000.80 F000.10 F000.10 F000.05 R000.00 F000.02 359.95
1913-02-30 346_01 261_15 342_41 019_23 307_10 263_07 037_40 284_07 090_34 065_25 340_25 1.00 12.13 R359.18 F000.18 F000.75 F000.13 F000.10 F000.02 R000.00 F000.00 359.95
1913-02-31 347_01 273_23 341_52 019_34 307_55 263_15 037_46 284_08 090_34 065_25 340_22 1.00 11.97 R359.20 F000.10 F000.80 F000.10 F000.10 F000.03 R000.00 F000.00 359.95
1913-03-01 348_01 285_21 341_04 019_40 308_43 263_21 037_52 284_10 090_34 065_25 340_19 0.98 11.83 R359.23 F000.10 F000.75 F000.08 F000.10 F000.05 R000.00 F000.00 359.95
1913-03-02 349_00 297_11 340_18 019_46 309_28 263_26 037_58 284_13 090_34 065_25 340_16 0.97 11.82 R359.30 F000.05 F000.78 F000.12 F000.10 F000.03 R000.00 F000.00 359.95
1913-03-03 349_58 309_00 339_36 019_49 310_15 263_33 038_04 284_15 090_34 065_25 340_13 1.00 11.80 R359.37 B000.03 F000.77 F000.08 F000.10 F000.02 R000.00 F000.03 359.92
1913-03-04 350_58 320_48 338_58 019_51 311_01 263_38 038_10 284_16 090_34 065_27 340_08 0.97 11.87 R359.45 R359.97 F000.78 F000.08 F000.10 F000.05 E000.00 F000.00 359.97
1913-03-05 351_56 332_40 338_25 019_49 311_48 263_43 038_16 284_19 090_34 065_27 340_06 0.98 12.00 R359.50 R359.93 F000.77 F000.10 F000.10 F000.03 F000.00 F000.02 359.95
1913-03-06 352_55 344_40 337_55 019_45 312_34 263_49 038_22 284_21 090_34 065_28 340_03 1.00 12.15 R359.63 R359.88 F000.78 F000.10 F000.10 F000.02 F000.00 F000.00 359.95
1913-03-07 353_55 356_49 337_33 019_38 313_21 263_55 038_28 284_22 090_34 065_28 340_00 0.97 12.33 R359.70 R359.87 F000.77 F000.08 F000.10 F000.02 F000.00 F000.00 359.93
1913-03-08 354_53 009_09 337_15 019_30 314_07 264_00 038_34 284_23 090_34 065_28 339_56 0.98 12.52 R359.77 R359.80 F000.77 F000.07 F000.13 F000.03 F000.00 F000.03 359.95
1913-03-09 355_52 021_40 337_01 019_18 314_53 264_04 038_42 284_25 090_34 065_30 339_53 1.00 12.72 R359.90 R359.77 F000.78 F000.10 F000.08 F000.02 F000.00 F000.00 359.93
1913-03-10 356_52 034_23 336_55 019_04 315_40 264_10 038_47 284_26 090_34 065_30 339_49 0.98 12.97 E359.95 R359.73 F000.77 F000.05 F000.13 F000.03 F000.00 F000.02 359.95
1913-03-11 357_51 047_21 336_52 018_48 316_26 264_13 038_55 284_28 090_34 065_31 339_46 0.97 13.22 F000.07 R359.67 F000.78 F000.10 F000.10 F000.05 F000.00 F000.00 359.95
1913-03-12 358_49 060_34 336_56 018_28 317_13 264_19 039_01 284_31 090_34 065_31 339_43 1.00 13.45 F000.13 R359.65 F000.78 F000.05 F000.10 F000.00 F000.00 F000.00 359.95
1913-03-13 359_49 074_01 337_04 018_07 318_00 264_22 039_07 284_31 090_34 065_31 339_40 0.98 13.73 F000.25 R359.63 F000.77 F000.07 F000.13 F000.03 F000.00 F000.02 359.95
1913-03-14 000_48 087_45 337_19 017_45 318_46 264_26 039_15 284_33 090_34 065_32 339_37 0.97 14.00 F000.30 R359.57 F000.78 F000.08 F000.10 F000.02 F000.02 F000.03 359.95
1913-03-15 001_46 101_45 337_37 017_19 319_33 264_31 039_21 284_34 090_35 065_34 339_34 0.98 14.22 F000.40 R359.55 F000.77 F000.05 F000.12 F000.03 F000.00 F000.00 359.95
1913-03-16 002_45 115_58 338_01 016_52 320_19 264_34 039_28 284_36 090_35 065_34 339_31 0.97 14.47 F000.45 R359.50 F000.75 F000.05 F000.10 F000.02 F000.00 F000.00 359.95
1913-03-17 003_43 130_26 338_28 016_22 321_04 264_37 039_34 284_37 090_35 065_34 339_28 0.98 14.63 F000.53 R359.47 F000.80 F000.07 F000.13 F000.02 F000.03 F000.02 359.95
1913-03-18 004_42 145_04 339_00 015_50 321_52 264_41 039_42 284_38 090_37 065_35 339_25 0.97 14.70 F000.60 R359.47 F000.75 F000.07 F000.12 F000.03 F000.00 F000.03 359.95
1913-03-19 005_40 159_46 339_36 015_18 322_37 264_45 039_49 284_40 090_37 065_37 339_22 0.98 14.70 F000.67 R359.42 F000.77 F000.05 F000.10 F000.00 F000.00 F000.00 359.95
1913-03-20 006_39 174_28 340_16 014_43 323_23 264_48 039_55 284_40 090_37 065_37 339_19 0.97 14.55 F000.70 R359.40 F000.78 F000.05 F000.10 F000.02 F000.00 F000.00 359.93
1913-03-21 007_37 189_01 340_58 014_07 324_10 264_51 040_01 284_41 090_37 065_37 339_15 0.97 14.30 F000.80 R359.40 F000.77 F000.02 F000.12 F000.03 F000.03 F000.03 359.93
1913-03-22 008_35 203_19 341_46 013_31 324_56 264_52 040_08 284_43 090_39 065_39 339_11 0.98 14.00 F000.85 R359.38 F000.78 F000.05 F000.13 F000.00 F000.02 F000.02 359.95
1913-03-23 009_34 217_19 342_37 012_54 325_43 264_55 040_16 284_43 090_40 065_40 339_08 0.98 13.60 F000.88 R359.37 F000.78 F000.05 F000.12 F000.03 F000.00 F000.00 359.97
1913-03-24 010_33 230_55 343_30 012_16 326_30 264_58 040_23 284_45 090_40 065_40 339_06 0.97 13.23 F000.93 R359.38 F000.77 F000.03 F000.13 F000.02 F000.00 F000.03 359.95
1913-03-25 011_31 244_09 344_26 011_39 327_16 265_00 040_31 284_46 090_40 065_42 339_03 0.98 12.82 F001.00 R359.37 F000.75 F000.02 F000.10 F000.00 F000.03 F000.02 359.92
1913-03-26 012_30 256_58 345_26 011_01 328_01 265_01 040_37 284_46 090_42 065_43 338_58 0.97 12.45 F001.03 R359.35 F000.78 F000.05 F000.13 F000.03 F000.00 F000.00 359.95
1913-03-27 013_28 269_25 346_28 010_22 328_48 265_04 040_45 284_48 090_42 065_43 338_55 0.97 12.20 F001.10 R359.40 F000.77 F000.03 F000.12 F000.00 F000.02 F000.03 359.95
1913-03-28 014_26 281_37 347_34 009_46 329_34 265_06 040_52 284_48 090_43 065_45 338_52 0.98 11.95 F001.15 R359.40 F000.78 F000.02 F000.13 F000.02 F000.00 F000.02 359.95
1913-03-29 015_25 293_34 348_43 009_10 330_21 265_07 041_00 284_49 090_43 065_46 338_49 0.95 11.85 F001.15 R359.40 F000.77 F000.00 F000.12 F000.00 F000.03 F000.00 359.95
1913-03-30 016_22 305_25 349_52 008_34 331_07 265_07 041_07 284_49 090_45 065_46 338_46 1.00 11.80 F001.23 R359.45 F000.75 F000.02 F000.10 F000.00 F000.02 F000.02 359.95
1913-04-01 017_22 317_13 351_06 008_01 331_52 265_08 041_13 284_49 090_46 065_47 338_43 0.95 11.85 F001.25 R359.45 F000.77 F000.03 F000.15 F000.03 F000.00 F000.03 359.95
1913-04-02 018_19 329_04 352_21 007_28 332_38 265_10 041_22 284_51 090_46 065_49 338_40 0.98 11.95 F001.28 R359.48 F000.78 F000.00 F000.10 F000.02 F000.00 F000.00 359.95
1913-04-03 019_18 341_01 353_38 006_57 333_25 265_10 041_28 284_52 090_46 065_49 338_37 0.97 12.12 F001.33 R359.50 F000.75 F000.00 F000.15 F000.00 F000.02 F000.02 359.95
1913-04-04 020_16 353_08 354_58 006_27 334_10 265_10 041_37 284_52 090_47 065_50 338_34 0.95 12.33 F001.38 R359.55 F000.77 F000.00 F000.10 F000.00 F000.03 F000.03 359.95
1913-04-05 021_13 005_28 356_21 006_00 334_56 265_10 041_43 284_52 090_49 065_52 338_31 0.97 12.60 F001.40 R359.57 F000.78 B000.00 F000.13 F000.00 F000.00 F000.00 359.95
1913-04-06 022_11 018_04 357_45 005_34 335_43 265_10 041_51 284_52 090_49 065_52 338_28 0.98 12.85 F001.43 R359.60 F000.75 R000.00 F000.12 F000.00 F000.02 F000.03 359.95
1913-04-07 023_10 030_55 359_11 005_10 336_28 265_10 041_58 284_52 090_50 065_54 338_25 0.95 13.10 F001.48 R359.65 F000.78 R000.00 F000.15 F000.00 F000.03 F000.02 359.93
1913-04-08 024_07 044_01 000_40 004_49 337_15 265_10 042_07 284_52 090_52 065_55 338_21 1.00 13.35 F001.50 R359.70 F000.77 R000.00 F000.10 F000.02 F000.03 F000.00 359.95
1913-04-09 025_07 057_22 002_10 004_31 338_01 265_10 042_13 284_53 090_54 065_55 338_18 0.95 13.55 F001.55 R359.73 F000.75 R000.00 F000.15 F000.00 F000.02 F000.03 359.95
1913-04-10 026_04 070_55 003_43 004_15 338_46 265_10 042_22 284_53 090_55 065_57 338_15 0.95 13.73 F001.60 R359.75 F000.78 R359.97 F000.10 F000.00 F000.00 F000.02 359.93
1913-04-11 027_01 084_39 005_19 004_00 339_33 265_08 042_28 284_53 090_55 065_58 338_11 0.98 13.87 F001.60 R359.82 F000.77 R359.98 F000.15 F000.00 F000.03 F000.03 359.95
1913-04-12 028_00 098_31 006_55 003_49 340_19 265_07 042_37 284_53 090_57 066_00 338_08 0.97 14.02 F001.65 R359.82 F000.75 R359.98 F000.13 B000.00 F000.02 F000.02 359.93
1913-04-13 028_58 112_32 008_34 003_38 341_04 265_06 042_45 284_53 090_58 066_01 338_04 0.95 14.13 F001.68 R359.90 F000.75 R359.97 F000.12 R000.00 F000.03 F000.00 359.95
1913-04-14 029_55 126_40 010_15 003_32 341_49 265_04 042_52 284_53 091_00 066_01 338_01 0.97 14.20 F001.72 R359.93 F000.78 R359.98 F000.13 R000.00 F000.02 F000.02 359.95
1913-04-15 030_53 140_52 011_58 003_28 342_36 265_03 043_00 284_53 091_01 066_02 337_58 0.98 14.25 F001.75 R359.95 F000.77 R359.97 F000.12 R000.00 F000.00 F000.03 359.95
