2061-01-14 301_06 227_26 277_55 294_13 176_54 061_13 045_49 198_11 053_22 327_10 358_10 1.02 12.08 F000.30 F001.25 F000.10 R359.98 F000.00 F000.00 R000.00 F000.02 359.95
2061-01-15 302_07 239_31 278_13 295_28 177_00 061_12 045_49 198_11 053_22 327_11 358_07 1.00 12.30 F000.40 F001.25 F000.07 R359.97 F000.00 B000.00 R000.00 F000.03 359.95
2061-01-16 303_07 251_49 278_37 296_43 177_04 061_10 045_49 198_11 053_22 327_13 358_04 1.00 12.60 F000.45 F001.25 F000.08 R000.00 F000.03 R000.00 R000.00 F000.03 359.95
2061-01-17 304_07 264_25 279_04 297_58 177_09 061_10 045_51 198_11 053_22 327_15 358_01 1.02 12.93 F000.57 F001.25 F000.07 R000.00 F000.02 R000.00 R359.98 F000.02 359.95
2061-01-18 305_08 277_21 279_38 299_13 177_13 061_10 045_52 198_11 053_21 327_16 357_58 1.00 13.27 F000.67 F001.25 F000.05 E000.00 F000.00 R000.00 R000.00 F000.03 359.95
2061-01-19 306_08 290_37 280_18 300_28 177_16 061_10 045_52 198_11 053_21 327_18 357_55 1.03 13.60 F000.70 F001.25 F000.05 F000.00 F000.02 R000.00 R000.00 F000.02 359.93
2061-01-20 307_10 304_13 281_00 301_43 177_19 061_10 045_53 198_11 053_21 327_19 357_51 1.00 13.85 F000.77 F001.25 F000.02 F000.00 F000.03 R000.00 R000.00 F000.03 359.95
2061-01-21 308_10 318_04 281_46 302_58 177_20 061_10 045_55 198_11 053_21 327_21 357_48 1.00 14.05 F000.85 F001.28 F000.03 F000.00 F000.00 R359.98 R359.97 F000.02 359.95
2061-01-22 309_10 332_07 282_37 304_15 177_22 061_10 045_55 198_10 053_19 327_22 357_45 1.00 14.20 F000.88 F001.25 B000.00 F000.03 F000.05 R000.00 R000.00 F000.02 359.93
2061-01-23 310_10 346_19 283_30 305_30 177_22 061_12 045_58 198_10 053_19 327_23 357_41 1.00 14.25 F000.93 F001.25 R000.00 F000.02 F000.00 R000.00 R000.00 F000.03 359.95
2061-01-24 311_10 000_34 284_26 306_45 177_22 061_13 045_58 198_10 053_19 327_25 357_38 1.02 14.25 F000.98 F001.25 R359.97 F000.00 F000.05 R000.00 R000.00 F000.02 359.97
2061-01-25 312_11 014_49 285_25 308_00 177_20 061_13 046_01 198_10 053_19 327_26 357_36 1.00 14.20 F001.05 F001.25 R359.98 F000.03 F000.02 R359.98 R000.00 F000.03 359.92
2061-01-26 313_11 029_01 286_28 309_15 177_19 061_15 046_02 198_09 053_19 327_28 357_31 1.00 14.15 F001.05 F001.25 R359.95 F000.02 F000.03 R000.00 E000.00 F000.03 359.95
2061-01-27 314_11 043_10 287_31 310_30 177_16 061_16 046_04 198_09 053_19 327_30 357_28 1.03 14.05 F001.12 F001.25 R359.95 F000.02 F000.05 R359.97 F000.00 F000.02 359.95
2061-01-28 315_13 057_13 288_38 311_45 177_13 061_17 046_07 198_07 053_19 327_31 357_25 1.00 13.95 F001.13 F001.25 R359.93 F000.03 F000.02 R000.00 F000.00 F000.03 359.95
2061-02-01 316_13 071_10 289_46 313_00 177_09 061_19 046_08 198_07 053_19 327_33 357_22 1.00 13.80 F001.20 F001.25 R359.92 F000.05 F000.03 R000.00 F000.00 F000.02 359.95
2061-02-02 317_13 084_58 290_58 314_15 177_04 061_22 046_10 198_07 053_19 327_34 357_19 1.00 13.65 F001.20 F001.25 R359.90 F000.05 F000.05 R359.97 F000.00 F000.03 359.95
2061-02-03 318_13 098_37 292_10 315_30 176_58 061_25 046_13 198_05 053_19 327_36 357_16 1.00 13.45 F001.25 F001.25 R359.87 F000.03 F000.05 R359.98 F000.03 F000.02 359.95
2061-02-04 319_13 112_04 293_25 316_45 176_50 061_27 046_16 198_04 053_21 327_37 357_13 1.00 13.25 F001.27 F001.25 R359.88 F000.05 F000.02 R000.00 F000.00 F000.02 359.95
2061-02-05 320_13 125_19 294_41 318_00 176_43 061_30 046_17 198_04 053_21 327_38 357_10 1.00 12.98 F001.32 F001.25 R359.87 F000.03 F000.07 R359.98 F000.00 F000.03 359.95
2061-02-06 321_13 138_18 296_00 319_15 176_35 061_32 046_21 198_03 053_21 327_40 357_07 1.00 12.72 F001.32 F001.25 R359.85 F000.07 F000.02 R359.97 F000.00 F000.02 359.95
2061-02-07 322_13 151_01 297_19 320_30 176_26 061_36 046_22 198_01 053_21 327_41 357_04 1.00 12.50 F001.35 F001.22 R359.87 F000.03 F000.05 R000.00 F000.02 F000.03 359.95
2061-02-08 323_13 163_31 298_40 321_43 176_18 061_38 046_25 198_01 053_22 327_43 357_01 1.00 12.25 F001.38 F001.25 R359.82 F000.07 F000.05 R359.98 F000.00 F000.03 359.92
2061-02-09 324_13 175_46 300_03 322_58 176_07 061_42 046_28 198_00 053_22 327_45 356_56 1.00 12.05 F001.37 F001.25 R359.80 F000.07 F000.05 R359.97 F000.00 F000.02 359.95
2061-02-10 325_13 187_49 301_25 324_13 175_55 061_46 046_31 197_58 053_22 327_46 356_53 1.00 11.93 F001.45 F001.25 R359.83 F000.05 F000.05 R359.97 F000.00 F000.03 359.97
2061-02-11 326_13 199_45 302_52 325_28 175_45 061_49 046_34 197_56 053_22 327_48 356_51 1.00 11.82 F001.43 F001.25 R359.77 F000.07 F000.07 R359.98 F000.00 F000.02 359.95
2061-02-12 327_13 211_34 304_18 326_43 175_31 061_53 046_38 197_55 053_22 327_49 356_48 1.00 11.85 F001.47 F001.25 R359.80 F000.08 F000.07 R000.00 F000.02 F000.03 359.95
2061-02-13 328_13 223_25 305_46 327_58 175_19 061_58 046_42 197_55 053_23 327_51 356_45 1.00 11.90 F001.50 F001.25 R359.75 F000.05 F000.05 R359.95 F000.00 F000.02 359.93
2061-02-14 329_13 235_19 307_16 329_13 175_04 062_01 046_45 197_52 053_23 327_52 356_41 1.00 12.05 F001.50 F001.25 R359.75 F000.10 F000.07 R000.00 F000.03 F000.05 359.93
2061-02-15 330_13 247_22 308_46 330_28 174_49 062_07 046_49 197_52 053_25 327_55 356_37 1.00 12.30 F001.53 F001.25 R359.75 F000.05 F000.05 R359.97 F000.00 F000.00 359.95
2061-02-16 331_13 259_40 310_18 331_43 174_34 062_10 046_52 197_50 053_25 327_55 356_34 1.00 12.60 F001.55 F001.25 R359.73 F000.10 F000.05 R359.98 F000.00 F000.05 359.95
2061-02-17 332_13 272_16 311_51 332_58 174_18 062_16 046_55 197_49 053_25 327_58 356_31 0.97 12.95 F001.57 F001.25 R359.72 F000.08 F000.08 R359.98 F000.03 F000.00 359.95
2061-02-18 333_11 285_13 313_25 334_13 174_01 062_21 047_00 197_48 053_27 327_58 356_28 1.00 13.38 F001.60 F001.22 R359.70 F000.07 F000.07 R359.97 F000.00 F000.05 359.95
2061-02-19 334_11 298_36 315_01 335_26 173_43 062_25 047_04 197_46 053_27 328_01 356_25 1.00 13.75 F001.60 F001.25 R359.70 F000.10 F000.05 R359.95 F000.02 F000.00 359.95
2061-02-20 335_11 312_21 316_37 336_41 173_25 062_31 047_07 197_43 053_28 328_01 356_22 0.98 14.12 F001.65 F001.25 R359.70 F000.10 F000.08 R000.00 F000.00 F000.05 359.95
2061-02-21 336_10 326_28 318_16 337_56 173_07 062_37 047_12 197_43 053_28 328_04 356_19 1.00 14.42 F001.65 F001.25 R359.68 F000.10 F000.07 R359.95 F000.03 F000.00 359.95
2061-02-22 337_10 340_53 319_55 339_11 172_48 062_43 047_16 197_40 053_30 328_04 356_16 1.00 14.63 F001.68 F001.23 R359.67 F000.10 F000.05 R359.98 F000.00 F000.05 359.95
2061-02-23 338_10 355_31 321_36 340_25 172_28 062_49 047_19 197_39 053_30 328_07 356_13 1.00 14.70 F001.70 F001.25 R359.65 F000.10 F000.10 R359.97 F000.02 F000.00 359.95
2061-02-24 339_10 010_13 323_18 341_40 172_07 062_55 047_25 197_37 053_31 328_07 356_10 1.00 14.70 F001.72 F001.25 R359.65 F000.10 F000.05 R359.97 F000.00 F000.05 359.95
2061-02-25 340_10 024_55 325_01 342_55 171_46 063_01 047_28 197_35 053_31 328_10 356_07 0.97 14.55 F001.75 F001.25 R359.65 F000.10 F000.10 R359.98 F000.02 F000.02 359.93
2061-02-26 341_08 039_28 326_46 344_10 171_25 063_07 047_34 197_34 053_32 328_11 356_03 1.00 14.40 F001.75 F001.25 R359.65 F000.10 F000.05 R359.95 F000.03 F000.03 359.95
2061-02-27 342_08 053_52 328_31 345_25 171_04 063_13 047_37 197_31 053_34 328_13 356_00 0.98 14.15 F001.80 F001.22 R359.62 F000.10 F000.10 R359.98 F000.00 F000.03 359.93
2061-02-28 343_07 068_01 330_19 346_38 170_41 063_19 047_43 197_30 053_34 328_15 355_56 1.00 13.88 F001.80 F001.25 R359.63 F000.13 F000.07 R359.97 F000.03 F000.02 359.95
2061-02-29 344_07 081_54 332_07 347_53 170_19 063_27 047_47 197_28 053_36 328_16 355_53 1.00 13.60 F001.82 F001.23 R359.62 F000.12 F000.08 R359.95 F000.02 F000.03 359.97
2061-02-30 345_07 095_30 333_56 349_07 169_56 063_34 047_52 197_25 053_37 328_18 355_51 0.98 13.32 F001.87 F001.25 R359.63 F000.10 F000.08 R359.98 F000.00 F000.02 359.95
2061-02-31 346_06 108_49 335_48 350_22 169_34 063_40 047_57 197_24 053_37 328_19 355_48 0.97 13.10 F001.87 F001.25 R359.62 F000.12 F000.07 R359.97 F000.02 F000.03 359.92
2061-03-01 347_04 121_55 337_40 351_37 169_11 063_47 048_01 197_22 053_38 328_21 355_43 1.00 12.85 F001.90 F001.25 R359.63 F000.13 F000.10 R359.95 F000.03 F000.02 359.95
2061-03-02 348_04 134_46 339_34 352_52 168_49 063_55 048_07 197_19 053_40 328_22 355_40 1.00 12.60 F001.93 F001.23 R359.60 F000.12 F000.10 R359.98 F000.00 F000.02 359.95
2061-03-03 349_04 147_22 341_30 354_06 168_25 064_02 048_13 197_18 053_40 328_23 355_37 0.98 12.43 F001.93 F001.25 R359.60 F000.13 F000.07 R359.97 F000.03 F000.03 359.95
2061-03-04 350_03 159_48 343_26 355_21 168_01 064_10 048_17 197_16 053_42 328_25 355_34 0.97 12.25 F001.98 F001.22 R359.63 F000.12 F000.08 R359.95 F000.02 F000.02 359.95
2061-03-05 351_01 172_03 345_25 356_34 167_39 064_17 048_22 197_13 053_43 328_26 355_31 1.00 12.07 F001.97 F001.25 R359.62 F000.13 F000.10 R359.95 F000.03 F000.03 359.95
2061-03-06 352_01 184_07 347_23 357_49 167_16 064_25 048_28 197_10 053_45 328_28 355_28 0.98 11.97 F002.00 F001.25 R359.60 F000.15 F000.10 R359.98 F000.02 F000.00 359.95
2061-03-07 353_00 196_05 349_23 359_04 166_52 064_34 048_34 197_09 053_46 328_28 355_25 0.97 11.88 F002.03 F001.23 R359.63 F000.13 F000.10 R359.97 F000.00 F000.05 359.95
2061-03-08 353_58 207_58 351_25 000_18 166_30 064_42 048_40 197_07 053_46 328_31 355_22 1.00 11.83 F002.05 F001.25 R359.62 F000.13 F000.08 R359.95 F000.05 F000.00 359.95
2061-03-09 354_58 219_48 353_28 001_33 166_07 064_50 048_45 197_04 053_49 328_31 355_19 0.97 11.82 F002.05 F001.22 R359.63 F000.13 F000.10 R359.95 F000.00 F000.05 359.95
2061-03-10 355_56 231_37 355_31 002_46 165_45 064_58 048_51 197_01 053_49 328_34 355_16 0.98 11.90 F002.10 F001.25 R359.62 F000.15 F000.10 R359.98 F000.05 F000.00 359.95
2061-03-11 356_55 243_31 357_37 004_01 165_22 065_07 048_57 197_00 053_52 328_34 355_13 1.00 12.05 F002.07 F001.23 R359.63 F000.15 F000.07 R359.97 F000.00 F000.05 359.92
2061-03-12 357_55 255_34 359_41 005_15 165_00 065_16 049_01 196_58 053_52 328_37 355_08 0.95 12.28 F002.12 F001.25 R359.65 F000.15 F000.10 R359.95 F000.02 F000.00 359.97
2061-03-13 358_52 267_51 001_48 006_30 164_39 065_25 049_07 196_55 053_53 328_37 355_06 1.00 12.53 F002.08 F001.22 R359.62 F000.15 F000.10 R359.95 F000.03 F000.02 359.95
2061-03-14 359_52 280_23 003_53 007_43 164_16 065_34 049_13 196_52 053_55 328_38 355_03 0.98 12.88 F002.13 F001.25 R359.65 F000.15 F000.10 R359.95 F000.03 F000.03 359.95
2061-03-15 000_51 293_16 006_01 008_58 163_55 065_43 049_19 196_49 053_57 328_40 355_00 0.97 13.33 F002.10 F001.22 R359.67 F000.15 F000.10 R359.98 F000.02 F000.02 359.93
