1931-01-12 299_25 237_19 277_46 252_52 098_25 078_25 265_37 349_40 131_50 086_15 354_28 1.00 12.55 F001.42 F001.07 R359.67 R359.95 F000.10 F000.05 R359.98 R359.97 359.95
1931-01-13 300_25 249_52 279_11 253_56 098_05 078_22 265_43 349_43 131_49 086_13 354_25 1.00 12.38 F001.43 F001.08 R359.73 R359.92 F000.10 F000.05 R359.95 R000.00 359.95
1931-01-14 301_25 262_15 280_37 255_01 097_49 078_17 265_49 349_46 131_46 086_13 354_22 1.02 12.18 F001.45 F001.08 R359.70 R359.93 F000.10 F000.03 R000.00 R359.98 359.95
1931-01-15 302_26 274_26 282_04 256_06 097_31 078_13 265_55 349_48 131_46 086_12 354_19 1.00 12.08 F001.48 F001.07 R359.73 R359.95 F000.10 F000.05 R359.95 R359.97 359.95
1931-01-16 303_26 286_31 283_33 257_10 097_15 078_10 266_01 349_51 131_43 086_10 354_16 1.03 11.95 F001.50 F001.10 R359.75 R359.92 F000.10 F000.03 R359.97 R000.00 359.95
1931-01-17 304_28 298_28 285_03 258_16 097_00 078_05 266_07 349_53 131_41 086_10 354_13 1.00 11.90 F001.50 F001.08 R359.75 R359.95 F000.10 F000.03 R359.98 R359.98 359.95
1931-01-18 305_28 310_22 286_33 259_21 096_45 078_02 266_13 349_55 131_40 086_09 354_10 1.00 11.80 F001.52 F001.08 R359.77 R359.93 F000.10 F000.05 R359.98 R359.97 359.95
1931-01-19 306_28 322_10 288_04 260_26 096_31 077_58 266_19 349_58 131_39 086_07 354_07 1.00 11.80 F001.53 F001.12 R359.77 R359.95 F000.10 F000.05 R359.97 R000.00 359.95
1931-01-20 307_28 333_58 289_36 261_33 096_17 077_55 266_25 350_01 131_37 086_07 354_04 1.03 11.80 F001.53 F001.08 R359.78 R359.95 F000.10 F000.05 R359.97 R000.00 359.95
1931-01-21 308_30 345_46 291_08 262_38 096_04 077_52 266_31 350_04 131_35 086_07 354_01 1.00 11.90 F001.58 F001.12 R359.80 R359.95 F000.10 F000.05 R359.98 R359.97 359.92
1931-01-22 309_30 357_40 292_43 263_45 095_52 077_49 266_37 350_07 131_34 086_05 353_56 1.02 12.00 F001.58 F001.10 R359.83 R359.97 F000.10 F000.05 R359.95 R359.98 359.95
1931-01-23 310_31 009_40 294_18 264_51 095_42 077_47 266_43 350_10 131_31 086_04 353_53 1.00 12.20 F001.58 F001.12 R359.82 R359.98 F000.10 F000.05 R000.00 R000.00 359.97
1931-01-24 311_31 021_52 295_53 265_58 095_31 077_46 266_49 350_13 131_31 086_04 353_51 1.00 12.45 F001.63 F001.10 R359.85 R359.95 F000.10 F000.05 R359.95 R359.97 359.95
1931-01-25 312_31 034_19 297_31 267_04 095_22 077_43 266_55 350_16 131_28 086_02 353_48 1.00 12.85 F001.62 F001.10 R359.85 R359.98 F000.10 F000.05 R359.97 R359.98 359.95
1931-01-26 313_31 047_10 299_08 268_10 095_13 077_42 267_01 350_19 131_26 086_01 353_45 1.00 13.25 F001.67 F001.13 R359.90 R359.97 F000.08 F000.03 R359.98 R000.00 359.93
1931-01-27 314_31 060_25 300_48 269_18 095_07 077_40 267_06 350_21 131_25 086_01 353_41 1.00 13.70 F001.67 F001.12 R359.88 R359.95 F000.08 F000.03 R359.98 R000.00 359.93
1931-01-28 315_31 074_07 302_28 270_25 095_00 077_37 267_11 350_23 131_24 086_01 353_37 1.03 14.22 F001.67 F001.13 R359.87 R000.00 F000.08 F000.05 R359.97 R359.98 359.95
1931-02-01 316_33 088_20 304_08 271_33 094_52 077_37 267_16 350_26 131_22 086_00 353_34 1.00 14.67 F001.72 F001.12 R359.92 R359.97 F000.10 F000.07 R359.97 R359.97 359.95
1931-02-02 317_33 103_00 305_51 272_40 094_47 077_35 267_22 350_30 131_20 085_58 353_31 1.00 15.00 F001.72 F001.13 R359.93 R359.98 F000.10 F000.05 R359.98 R000.00 359.95
1931-02-03 318_33 118_00 307_34 273_48 094_43 077_34 267_28 350_33 131_19 085_58 353_28 1.00 15.22 F001.73 F001.12 R359.95 R000.00 F000.08 F000.05 R359.95 R000.00 359.95
1931-02-04 319_33 133_13 309_18 274_55 094_40 077_34 267_33 350_36 131_16 085_58 353_25 1.00 15.30 F001.75 F001.15 R359.95 R359.97 F000.07 F000.03 R000.00 R359.98 359.95
1931-02-05 320_33 148_31 311_03 276_04 094_37 077_32 267_37 350_38 131_16 085_57 353_22 1.00 15.15 F001.77 F001.12 R359.95 R000.00 F000.10 F000.08 R359.95 R359.97 359.95
1931-02-06 321_33 163_40 312_49 277_11 094_34 077_32 267_43 350_43 131_13 085_55 353_19 1.00 14.90 F001.80 F001.17 R359.97 R000.00 F000.10 F000.05 R359.97 R000.00 359.95
1931-02-07 322_33 178_34 314_37 278_21 094_32 077_32 267_49 350_46 131_11 085_55 353_16 1.00 14.50 F001.80 F001.12 R359.98 E000.00 F000.07 F000.05 R359.98 R000.00 359.95
1931-02-08 323_33 193_04 316_25 279_28 094_31 077_32 267_53 350_49 131_10 085_55 353_13 1.00 14.05 F001.83 F001.15 E000.00 F000.00 F000.08 F000.05 R359.98 R000.00 359.95
1931-02-09 324_33 207_07 318_15 280_37 094_31 077_32 267_58 350_52 131_09 085_55 353_10 1.00 13.60 F001.82 F001.15 F000.02 F000.03 F000.08 F000.05 R359.97 R359.98 359.95
1931-02-10 325_33 220_43 320_04 281_46 094_32 077_34 268_03 350_55 131_07 085_54 353_07 1.00 13.20 F001.87 F001.15 F000.03 F000.00 F000.07 F000.05 R359.97 R359.97 359.93
