2006-01-20 307_16 201_55 324_25 266_58 037_04 204_40 102_07 316_15 293_52 242_25 342_25 1.00 12.70 F001.40 F000.55 F000.50 F000.05 R359.95 F000.05 F000.05 F000.02 359.95
2006-01-21 308_16 214_37 325_49 267_31 037_34 204_43 102_04 316_18 293_55 242_26 342_22 1.00 13.13 F001.30 F000.60 F000.53 F000.03 R359.93 F000.05 F000.02 F000.03 359.93
2006-01-22 309_16 227_45 327_07 268_07 038_06 204_45 102_00 316_21 293_56 242_28 342_18 1.00 13.52 F001.18 F000.60 F000.50 F000.02 R359.92 F000.07 F000.03 F000.03 359.95
2006-01-23 310_16 241_16 328_18 268_43 038_36 204_46 101_55 316_25 293_58 242_30 342_15 1.03 14.03 F001.07 F000.63 F000.52 F000.03 R359.95 F000.05 F000.05 F000.02 359.93
2006-01-24 311_18 255_18 329_22 269_21 039_07 204_48 101_52 316_28 294_01 242_31 342_11 1.00 14.45 F000.95 F000.62 F000.50 F000.02 R359.92 F000.05 F000.05 F000.00 359.95
2006-01-25 312_18 269_45 330_19 269_58 039_37 204_49 101_47 316_31 294_04 242_31 342_08 1.00 14.87 F000.80 F000.67 F000.50 F000.02 R359.93 F000.05 F000.03 F000.03 359.97
2006-01-26 313_18 284_37 331_07 270_38 040_07 204_50 101_43 316_34 294_06 242_33 342_06 1.02 15.13 F000.70 F000.68 F000.52 F000.03 R359.95 F000.07 F000.02 F000.02 359.95
2006-01-27 314_19 299_45 331_49 271_19 040_38 204_52 101_40 316_38 294_07 242_34 342_03 1.00 15.25 F000.53 F000.70 F000.53 F000.03 R359.95 F000.05 F000.05 F000.00 359.92
2006-01-28 315_19 315_00 332_21 272_01 041_10 204_54 101_37 316_41 294_10 242_34 341_58 1.00 15.18 F000.37 F000.73 F000.50 F000.00 R359.92 F000.07 F000.02 F000.02 359.95
2006-02-01 316_19 330_11 332_43 272_45 041_40 204_54 101_32 316_45 294_11 242_35 341_55 1.00 15.00 F000.20 F000.72 F000.55 F000.02 R359.97 F000.07 F000.03 F000.03 359.95
2006-02-02 317_19 345_11 332_55 273_28 042_13 204_55 101_30 316_49 294_13 242_37 341_52 1.00 14.67 B000.05 F000.75 F000.50 F000.00 R359.92 F000.05 F000.05 F000.00 359.95
2006-02-03 318_19 359_51 332_58 274_13 042_43 204_55 101_25 316_52 294_16 242_37 341_49 1.00 14.22 R359.90 F000.78 F000.55 F000.00 R359.95 F000.05 F000.05 F000.03 359.95
2006-02-04 319_19 014_04 332_52 275_00 043_16 204_55 101_22 316_55 294_19 242_39 341_46 1.00 13.80 R359.75 F000.77 F000.50 B000.00 R359.95 F000.05 F000.03 F000.00 359.95
2006-02-05 320_19 027_52 332_37 275_46 043_46 204_55 101_19 316_58 294_21 242_39 341_43 1.00 13.35 R359.60 F000.80 F000.55 R000.00 R359.95 F000.08 F000.02 F000.02 359.95
2006-02-06 321_19 041_13 332_13 276_34 044_19 204_55 101_16 317_03 294_22 242_40 341_40 1.00 12.95 R359.47 F000.80 F000.53 R000.00 R359.95 F000.05 F000.05 F000.00 359.95
2006-02-07 322_19 054_10 331_41 277_22 044_51 204_55 101_13 317_06 294_25 242_40 341_37 1.00 12.60 R359.33 F000.82 F000.52 R000.00 R359.95 F000.07 F000.02 F000.02 359.95
2006-02-08 323_19 066_46 331_01 278_11 045_22 204_55 101_10 317_10 294_26 242_41 341_34 1.00 12.32 R359.25 F000.83 F000.55 R359.98 R359.95 F000.05 F000.03 F000.00 359.95
2006-02-09 324_19 079_05 330_16 279_01 045_55 204_54 101_07 317_13 294_28 242_41 341_31 1.00 12.12 R359.15 F000.85 F000.53 R359.97 R359.95 F000.05 F000.05 F000.03 359.95
2006-02-10 325_19 091_12 329_25 279_52 046_27 204_52 101_04 317_16 294_31 242_43 341_28 1.00 11.97 R359.10 F000.88 F000.55 R000.00 R359.95 F000.05 F000.03 F000.00 359.92
2006-02-11 326_19 103_10 328_31 280_45 047_00 204_52 101_01 317_19 294_33 242_43 341_23 1.00 11.85 R359.05 F000.87 F000.52 R359.97 R359.95 F000.05 F000.02 F000.00 359.97
2006-02-12 327_19 115_01 327_34 281_37 047_31 204_50 100_58 317_22 294_34 242_43 341_21 1.00 11.82 R359.00 F000.85 F000.55 R359.98 R359.98 F000.07 F000.05 F000.03 359.95
2006-02-13 328_19 126_50 326_34 282_28 048_04 204_49 100_57 317_26 294_37 242_45 341_18 1.00 11.83 R359.05 F000.90 F000.55 R359.98 R359.95 F000.07 F000.02 F000.00 359.95
2006-02-14 329_19 138_40 325_37 283_22 048_37 204_48 100_54 317_30 294_38 242_45 341_15 1.00 11.83 R359.02 F000.90 F000.55 R359.97 R359.97 F000.05 F000.03 F000.02 359.93
2006-02-15 330_19 150_30 324_38 284_16 049_10 204_46 100_52 317_33 294_40 242_46 341_11 1.00 11.92 R359.12 F000.90 F000.53 R359.95 R359.95 F000.07 F000.05 F000.00 359.95
2006-02-16 331_19 162_25 323_45 285_10 049_42 204_43 100_49 317_37 294_43 242_46 341_08 1.00 12.00 R359.13 F000.95 F000.55 R359.97 R359.95 F000.05 F000.03 F000.00 359.93
2006-02-17 332_19 174_25 322_53 286_07 050_15 204_41 100_46 317_40 294_45 242_46 341_04 1.00 12.15 R359.23 F000.90 F000.53 R359.97 R359.98 F000.05 F000.02 F000.00 359.95
2006-02-18 333_19 186_34 322_07 287_01 050_47 204_39 100_45 317_43 294_46 242_46 341_01 1.00 12.33 R359.30 F000.95 F000.57 R359.97 R359.97 F000.05 F000.05 F000.00 359.95
2006-02-19 334_19 198_54 321_25 287_58 051_21 204_37 100_43 317_46 294_49 242_46 340_58 0.98 12.52 R359.38 F000.95 F000.53 R359.95 R359.98 F000.05 F000.00 F000.03 359.95
2006-02-20 335_18 211_25 320_48 288_55 051_53 204_34 100_42 317_49 294_49 242_48 340_55 1.00 12.80 R359.50 F000.95 F000.57 R359.95 R359.97 F000.05 F000.05 F000.00 359.95
2006-02-21 336_18 224_13 320_18 289_52 052_27 204_31 100_40 317_52 294_52 242_48 340_52 0.97 13.12 R359.57 F000.95 F000.57 R359.95 R359.95 F000.07 F000.02 F000.00 359.95
2006-02-22 337_16 237_20 319_52 290_49 053_01 204_28 100_37 317_56 294_53 242_48 340_49 1.00 13.47 R359.70 F000.98 F000.55 R359.95 R000.00 F000.07 F000.03 F000.02 359.95
2006-02-23 338_16 250_48 319_34 291_48 053_34 204_25 100_37 318_00 294_55 242_49 340_46 1.00 13.82 R359.80 F000.97 F000.55 R359.92 R359.95 F000.05 F000.05 F000.00 359.95
2006-02-24 339_16 264_37 319_22 292_46 054_07 204_20 100_34 318_03 294_58 242_49 340_43 1.00 14.20 R359.90 F001.00 F000.55 R359.97 R000.00 F000.07 F000.00 F000.00 359.95
2006-02-25 340_16 278_49 319_16 293_46 054_40 204_18 100_34 318_07 294_58 242_49 340_40 0.98 14.55 E359.98 F000.98 F000.55 R359.92 R359.97 F000.05 F000.05 F000.00 359.95
2006-02-26 341_15 293_22 319_15 294_45 055_13 204_13 100_32 318_10 295_01 242_49 340_37 1.00 14.82 F000.10 F001.00 F000.57 R359.95 R359.98 F000.05 F000.03 F000.00 359.95
2006-02-27 342_15 308_11 319_21 295_45 055_47 204_10 100_31 318_13 295_03 242_49 340_34 0.97 15.00 F000.17 F001.00 F000.57 R359.92 R000.00 F000.05 F000.02 F000.00 359.93
2006-02-28 343_13 323_11 319_31 296_45 056_21 204_05 100_31 318_16 295_04 242_49 340_30 1.00 15.03 F000.25 F001.00 F000.57 R359.93 R359.98 F000.05 F000.03 F000.00 359.93
2006-02-29 344_13 338_13 319_46 297_45 056_55 204_01 100_30 318_19 295_06 242_49 340_26 1.00 14.95 F000.35 F001.02 F000.55 R359.92 R359.97 F000.05 F000.02 B000.00 359.95
2006-02-30 345_13 353_10 320_07 298_46 057_28 203_56 100_28 318_22 295_07 242_49 340_23 0.97 14.70 F000.45 F001.00 F000.57 R359.93 R000.00 F000.05 F000.02 R000.00 359.97
2006-02-31 346_11 007_52 320_34 299_46 058_02 203_52 100_28 318_25 295_08 242_49 340_21 1.00 14.35 F000.50 F001.05 F000.58 R359.93 R000.00 F000.05 F000.03 R000.00 359.95
2006-03-01 347_11 022_13 321_04 300_49 058_37 203_48 100_28 318_28 295_10 242_49 340_18 0.98 13.95 F000.57 F001.03 F000.55 R359.92 R359.98 F000.05 F000.05 R000.00 359.95
2006-03-02 348_10 036_10 321_38 301_51 059_10 203_43 100_27 318_31 295_13 242_49 340_15 1.00 13.47 F000.67 F001.02 F000.58 R359.90 R000.00 F000.05 F000.00 R000.00 359.92
2006-03-03 349_10 049_38 322_18 302_52 059_45 203_37 100_27 318_34 295_13 242_49 340_10 0.97 13.08 F000.70 F001.05 F000.57 R359.93 R000.00 F000.05 F000.05 R000.00 359.95
2006-03-04 350_08 062_43 323_00 303_55 060_19 203_33 100_27 318_37 295_16 242_49 340_07 0.98 12.68 F000.77 F001.05 F000.55 R359.88 R000.00 F000.05 F000.00 R000.00 359.95
2006-03-05 351_07 075_24 323_46 304_58 060_52 203_26 100_27 318_40 295_16 242_49 340_04 1.00 12.35 F000.80 F001.03 F000.58 R359.93 E000.00 F000.05 F000.05 R359.98 359.95
2006-03-06 352_07 087_45 324_34 306_00 061_27 203_22 100_27 318_43 295_19 242_48 340_01 0.98 12.12 F000.90 F001.07 F000.57 R359.90 F000.00 F000.05 F000.00 R000.00 359.95
2006-03-07 353_06 099_52 325_28 307_04 062_01 203_16 100_27 318_46 295_19 242_48 339_58 0.97 11.90 F000.92 F001.05 F000.58 R359.90 F000.00 F000.05 F000.03 R000.00 359.95
2006-03-08 354_04 111_46 326_23 308_07 062_36 203_10 100_27 318_49 295_21 242_48 339_55 1.00 11.85 F000.98 F001.05 F000.57 R359.90 F000.00 F000.05 F000.02 R000.00 359.95
2006-03-09 355_04 123_37 327_22 309_10 063_10 203_04 100_27 318_52 295_22 242_48 339_52 0.98 11.80 F001.02 F001.05 F000.58 R359.90 F000.02 F000.05 F000.02 R359.97 359.95
2006-03-10 356_03 135_25 328_23 310_13 063_45 202_58 100_28 318_55 295_23 242_46 339_49 0.97 11.80 F001.08 F001.08 F000.57 R359.90 F000.00 F000.05 F000.03 R000.00 359.95
2006-03-11 357_01 147_13 329_28 311_18 064_19 202_52 100_28 318_58 295_25 242_46 339_46 1.00 11.95 F001.10 F001.07 F000.55 R359.90 F000.00 F000.05 F000.02 R000.00 359.95
2006-03-12 358_01 159_10 330_34 312_22 064_52 202_46 100_28 319_01 295_26 242_46 339_43 0.98 12.02 F001.15 F001.07 F000.60 R359.90 F000.03 F000.05 F000.03 R000.00 359.95
2006-03-13 359_00 171_11 331_43 313_26 065_28 202_40 100_30 319_04 295_28 242_46 339_40 0.97 12.23 F001.20 F001.08 F000.57 R359.88 F000.00 F000.05 F000.00 R359.98 359.93
2006-03-14 359_58 183_25 332_55 314_31 066_02 202_33 100_30 319_07 295_28 242_45 339_36 0.98 12.40 F001.20 F001.10 F000.58 R359.88 F000.02 F000.05 F000.03 R000.00 359.95
2006-03-15 000_57 195_49 334_07 315_37 066_37 202_26 100_31 319_10 295_30 242_45 339_33 0.97 12.60 F001.27 F001.07 F000.58 R359.88 F000.02 F000.05 F000.02 R359.97 359.95
2006-03-16 001_55 208_25 335_23 316_41 067_12 202_19 100_32 319_13 295_31 242_43 339_30 1.00 12.83 F001.30 F001.08 F000.57 R359.90 F000.03 F000.05 F000.03 R000.00 359.93
2006-03-17 002_55 221_15 336_41 317_46 067_46 202_13 100_34 319_16 295_33 242_43 339_26 0.95 13.07 F001.33 F001.10 F000.57 R359.90 F000.00 F000.03 F000.02 R000.00 359.95
2006-03-18 003_52 234_19 338_01 318_52 068_20 202_07 100_34 319_18 295_34 242_43 339_23 1.00 13.30 F001.37 F001.10 F000.58 R359.88 F000.02 F000.05 F000.00 R000.00 359.97
2006-03-19 004_52 247_37 339_23 319_58 068_55 202_00 100_35 319_21 295_34 242_43 339_21 0.97 13.52 F001.42 F001.10 F000.60 R359.87 F000.03 F000.03 F000.03 R359.97 359.92
2006-03-20 005_50 261_08 340_48 321_04 069_31 201_52 100_37 319_23 295_36 242_41 339_16 0.98 13.78 F001.42 F001.10 F000.57 R359.88 F000.05 F000.03 F000.02 R359.98 359.95
2006-03-21 006_49 274_55 342_13 322_10 070_05 201_45 100_40 319_25 295_37 242_40 339_13 0.97 14.05 F001.45 F001.10 F000.58 R359.87 F000.00 F000.05 F000.00 R000.00 359.95
2006-03-22 007_47 288_58 343_40 323_16 070_40 201_37 100_40 319_28 295_37 242_40 339_10 0.98 14.25 F001.50 F001.10 F000.60 R359.90 F000.05 F000.05 F000.02 R000.00 359.95
2006-03-23 008_46 303_13 345_10 324_22 071_16 201_31 100_43 319_31 295_38 242_40 339_07 0.98 14.45 F001.52 F001.13 F000.57 R359.88 F000.03 F000.05 F000.03 R359.98 359.95
2006-03-24 009_45 317_40 346_41 325_30 071_50 201_24 100_45 319_34 295_40 242_39 339_04 0.97 14.60 F001.57 F001.10 F000.58 R359.87 F000.02 F000.03 F000.00 R359.97 359.95
2006-03-25 010_43 332_16 348_15 326_36 072_25 201_16 100_46 319_36 295_40 242_37 339_01 0.97 14.65 F001.57 F001.12 F000.60 R359.88 F000.05 F000.03 F000.02 R000.00 359.95
2006-03-26 011_41 346_55 349_49 327_43 073_01 201_09 100_49 319_38 295_41 242_37 338_58 0.98 14.63 F001.62 F001.10 F000.57 R359.87 F000.02 F000.03 F000.03 R000.00 359.95
2006-03-27 012_40 001_33 351_26 328_49 073_35 201_01 100_50 319_40 295_43 242_37 338_55 0.98 14.47 F001.63 F001.12 F000.58 R359.88 F000.07 F000.05 F000.00 R359.97 359.95
2006-03-28 013_39 016_01 353_04 329_56 074_10 200_54 100_54 319_43 295_43 242_35 338_52 0.97 14.23 F001.68 F001.13 F000.60 R359.87 F000.02 F000.05 F000.00 R359.98 359.95
2006-03-29 014_37 030_15 354_45 331_04 074_46 200_46 100_55 319_46 295_43 242_34 338_49 0.95 13.88 F001.68 F001.12 F000.57 R359.88 F000.05 F000.03 F000.03 R000.00 359.95
2006-03-30 015_34 044_08 356_26 332_11 075_20 200_39 100_58 319_48 295_45 242_34 338_46 1.00 13.50 F001.73 F001.13 F000.62 R359.87 F000.05 F000.02 F000.02 R359.98 359.92
2006-04-01 016_34 057_38 358_10 333_19 075_57 200_31 101_01 319_49 295_46 242_33 338_41 0.95 13.13 F001.77 F001.12 F000.57 R359.88 F000.05 F000.05 F000.00 R359.97 359.95
2006-04-02 017_31 070_46 359_56 334_26 076_31 200_24 101_04 319_52 295_46 242_31 338_38 0.98 12.73 F001.78 F001.13 F000.60 R359.87 F000.05 F000.05 F000.00 R000.00 359.97
2006-04-03 018_30 083_30 001_43 335_34 077_07 200_16 101_07 319_55 295_46 242_31 338_36 0.97 12.40 F001.82 F001.12 F000.60 R359.85 F000.05 F000.02 F000.03 R359.98 359.95
2006-04-04 019_28 095_54 003_32 336_41 077_43 200_07 101_10 319_56 295_48 242_30 338_33 0.95 12.12 F001.87 F001.13 F000.57 R359.90 F000.05 F000.03 F000.00 R359.97 359.95
2006-04-05 020_25 108_01 005_24 337_49 078_17 200_01 101_13 319_58 295_48 242_28 338_30 1.00 11.95 F001.87 F001.15 F000.58 R359.85 F000.05 F000.05 F000.02 R000.00 359.93
2006-04-06 021_25 119_58 007_16 338_58 078_52 199_52 101_16 320_01 295_49 242_28 338_26 0.95 11.83 F001.92 F001.13 F000.60 R359.88 F000.05 F000.03 F000.00 R359.97 359.93
2006-04-07 022_22 131_48 009_11 340_06 079_28 199_45 101_19 320_03 295_49 242_26 338_22 0.98 11.82 F001.93 F001.15 F000.60 R359.87 F000.05 F000.02 F000.00 R359.98 359.95
2006-04-08 023_21 143_37 011_07 341_15 080_04 199_37 101_22 320_04 295_49 242_25 338_19 0.97 11.85 F001.97 F001.12 F000.60 R359.88 F000.05 F000.05 F000.00 R000.00 359.95
2006-04-09 024_19 155_28 013_05 342_22 080_40 199_30 101_25 320_07 295_49 242_25 338_16 0.95 12.00 F002.00 F001.15 F000.58 R359.87 F000.08 F000.02 F000.03 R359.95 359.95
2006-04-10 025_16 167_28 015_05 343_31 081_15 199_22 101_30 320_08 295_51 242_22 338_13 0.98 12.20 F002.03 F001.15 F000.58 R359.88 F000.03 F000.03 F000.00 R000.00 359.95
2006-04-11 026_15 179_40 017_07 344_40 081_50 199_15 101_32 320_10 295_51 242_22 338_10 0.97 12.40 F002.05 F001.13 F000.58 R359.87 F000.08 F000.05 F000.00 R359.97 359.95
2006-04-12 027_13 192_04 019_10 345_48 082_25 199_07 101_37 320_13 295_51 242_20 338_07 0.95 12.70 F002.10 F001.13 F000.60 R359.88 F000.05 F000.00 F000.02 R359.98 359.95
2006-04-13 028_10 204_46 021_16 346_56 083_01 199_00 101_40 320_13 295_52 242_19 338_04 0.95 12.95 F002.10 F001.17 F000.60 R359.87 F000.05 F000.05 F000.00 R000.00 359.95
2006-04-14 029_07 217_43 023_22 348_06 083_37 198_52 101_43 320_16 295_52 242_19 338_01 0.98 13.20 F002.13 F001.15 F000.60 R359.88 F000.07 F000.03 F000.00 R359.95 359.95
2006-04-15 030_06 230_55 025_30 349_15 084_13 198_45 101_47 320_18 295_52 242_16 337_58 0.97 13.45 F002.12 F001.13 F000.60 R359.87 F000.08 F000.02 F000.00 R000.00 359.95
