1947-01-26 313_25 013_00 329_46 268_40 301_36 214_01 100_01 054_37 167_10 108_31 044_04 1.00 13.63 F000.20 F001.13 F000.78 F000.05 R359.93 F000.00 R359.98 R359.98 359.95
1947-01-27 314_25 026_38 329_58 269_48 302_23 214_04 099_57 054_37 167_09 108_30 044_01 1.02 13.83 B000.05 F001.12 F000.78 F000.05 R359.95 F000.00 R359.97 R359.97 359.93
1947-01-28 315_26 040_28 330_01 270_55 303_10 214_07 099_54 054_37 167_07 108_28 043_57 1.00 14.00 R359.87 F001.15 F000.80 F000.05 R359.92 F000.00 R359.97 R000.00 359.93
1947-02-01 316_26 054_28 329_53 272_04 303_58 214_10 099_49 054_37 167_05 108_28 043_53 1.00 14.20 R359.73 F001.12 F000.78 F000.02 R359.95 F000.00 R359.98 R359.98 359.97
1947-02-02 317_26 068_40 329_37 273_11 304_45 214_11 099_46 054_37 167_04 108_27 043_51 1.00 14.35 R359.57 F001.17 F000.80 F000.03 R359.95 F000.02 R000.00 R359.97 359.93
1947-02-03 318_26 083_01 329_11 274_21 305_33 214_13 099_43 054_38 167_04 108_25 043_47 1.00 14.45 R359.43 F001.12 F000.77 F000.05 R359.95 F000.00 R359.95 R359.98 359.97
1947-02-04 319_26 097_28 328_37 275_28 306_19 214_16 099_40 054_38 167_01 108_24 043_45 1.03 14.50 R359.30 F001.15 F000.80 F000.03 R359.95 F000.00 R000.00 R359.97 359.95
1947-02-05 320_28 111_58 327_55 276_37 307_07 214_18 099_37 054_38 167_01 108_22 043_42 1.00 14.45 R359.22 F001.15 F000.77 F000.02 R359.95 F000.03 R359.95 R000.00 359.92
1947-02-06 321_28 126_25 327_08 277_46 307_53 214_19 099_34 054_40 166_58 108_22 043_37 1.00 14.25 R359.13 F001.15 F000.80 F000.05 R359.95 F000.00 R000.00 R359.97 359.95
1947-02-07 322_28 140_40 326_16 278_55 308_41 214_22 099_31 054_40 166_58 108_20 043_34 1.00 14.00 R359.05 F001.15 F000.78 F000.00 R359.95 F000.00 R359.95 R359.98 359.95
1947-02-08 323_28 154_40 325_19 280_04 309_28 214_22 099_28 054_40 166_55 108_19 043_31 1.00 13.63 R359.03 F001.15 F000.80 F000.03 R359.95 F000.03 R000.00 R000.00 359.95
1947-02-09 324_28 168_18 324_21 281_13 310_16 214_24 099_25 054_42 166_55 108_19 043_28 1.00 13.25 R359.00 F001.17 F000.78 F000.02 R359.95 F000.00 R359.95 R359.97 359.95
1947-02-10 325_28 181_33 323_21 282_23 311_03 214_25 099_22 054_42 166_52 108_17 043_25 1.00 12.87 R359.00 F001.17 F000.80 F000.00 R359.97 F000.02 R000.00 R359.98 359.95
1947-02-11 326_28 194_25 322_21 283_33 311_51 214_25 099_20 054_43 166_52 108_16 043_22 0.97 12.50 R359.02 F001.17 F000.77 F000.00 R359.95 F000.00 R359.95 R000.00 359.95
1947-02-12 327_26 206_55 321_22 284_43 312_37 214_25 099_17 054_43 166_49 108_16 043_19 1.00 12.20 R359.10 F001.15 F000.80 F000.02 R359.98 F000.03 R000.00 R359.95 359.95
1947-02-13 328_26 219_07 320_28 285_52 313_25 214_26 099_16 054_45 166_49 108_13 043_16 1.00 11.97 R359.13 F001.15 F000.77 F000.00 R359.95 F000.00 R359.95 R000.00 359.95
1947-02-14 329_26 231_05 319_36 287_01 314_11 214_26 099_13 054_45 166_46 108_13 043_13 1.00 11.85 R359.22 F001.17 F000.82 B000.00 R359.95 F000.02 R000.00 R359.98 359.95
1947-02-15 330_26 242_56 318_49 288_11 315_00 214_26 099_10 054_46 166_46 108_12 043_10 1.00 11.82 R359.30 F001.17 F000.77 R000.00 R359.98 F000.00 R359.95 R000.00 359.95
1947-02-16 331_26 254_45 318_07 289_21 315_46 214_26 099_09 054_46 166_43 108_12 043_07 0.98 11.85 R359.40 F001.17 F000.80 R359.98 R359.97 F000.02 R000.00 R359.97 359.92
1947-02-17 332_25 266_36 317_31 290_31 316_34 214_25 099_07 054_47 166_43 108_10 043_02 1.00 12.00 R359.50 F001.15 F000.78 R000.00 R359.95 F000.03 R359.95 R000.00 359.97
1947-02-18 333_25 278_36 317_01 291_40 317_21 214_25 099_04 054_49 166_40 108_10 043_00 1.00 12.17 R359.62 F001.20 F000.77 R000.00 R000.00 F000.03 R359.98 R359.98 359.95
1947-02-19 334_25 290_46 316_38 292_52 318_07 214_25 099_04 054_51 166_39 108_09 042_57 1.00 12.45 R359.72 F001.15 F000.80 R359.98 R359.95 F000.02 R359.97 R359.97 359.93
1947-02-20 335_25 303_13 316_21 294_01 318_55 214_24 099_01 054_52 166_37 108_07 042_53 1.00 12.72 R359.82 F001.17 F000.80 R359.97 R359.98 F000.00 R359.97 R000.00 359.97
1947-02-21 336_25 315_56 316_10 295_11 319_43 214_22 099_00 054_52 166_35 108_07 042_51 1.00 13.00 R359.90 F001.18 F000.78 R359.97 R359.97 F000.02 R359.98 R359.97 359.93
1947-02-22 337_25 328_56 316_04 296_22 320_30 214_20 098_58 054_53 166_34 108_05 042_47 0.97 13.28 E000.03 F001.18 F000.77 R359.98 R000.00 F000.03 R359.98 R359.98 359.93
1947-02-23 338_23 342_13 316_06 297_33 321_16 214_19 098_58 054_55 166_33 108_04 042_43 1.00 13.53 F000.12 F001.17 F000.80 R359.98 R359.95 F000.03 R359.97 R000.00 359.95
1947-02-24 339_23 355_45 316_13 298_43 322_04 214_18 098_55 054_57 166_31 108_04 042_40 0.98 13.72 F000.20 F001.17 F000.78 R359.97 R000.00 F000.02 R359.98 R000.00 359.95
