2083-01-23 309_33 020_19 302_34 271_10 019_19 006_28 316_03 290_06 102_47 350_52 291_55 1.00 11.85 F001.75 F001.20 F000.62 F000.20 F000.12 F000.03 R359.98 F000.02 359.95
2083-01-24 310_33 032_10 304_19 272_22 019_56 006_40 316_10 290_08 102_46 350_53 291_52 1.02 11.93 F001.80 F001.20 F000.63 F000.17 F000.13 F000.08 R359.98 F000.03 359.95
2083-01-25 311_34 044_06 306_07 273_34 020_34 006_50 316_18 290_13 102_45 350_55 291_49 1.00 12.02 F001.77 F001.20 F000.65 F000.18 F000.12 F000.05 R359.97 F000.00 359.95
2083-01-26 312_34 056_07 307_53 274_46 021_13 007_01 316_25 290_16 102_43 350_55 291_46 1.00 12.22 F001.80 F001.20 F000.65 F000.20 F000.10 F000.05 R000.00 F000.02 359.95
2083-01-27 313_34 068_20 309_41 275_58 021_52 007_13 316_31 290_19 102_43 350_56 291_43 1.00 12.50 F001.83 F001.20 F000.63 F000.20 F000.15 F000.05 R359.95 F000.03 359.92
2083-01-28 314_34 080_50 311_31 277_10 022_30 007_25 316_40 290_22 102_40 350_58 291_38 1.00 12.83 F001.85 F001.22 F000.62 F000.17 F000.10 F000.05 R000.00 F000.00 359.97
2083-02-01 315_34 093_40 313_22 278_23 023_07 007_35 316_46 290_25 102_40 350_58 291_36 1.00 13.20 F001.85 F001.22 F000.65 F000.20 F000.12 F000.05 R359.95 F000.05 359.95
2083-02-02 316_34 106_52 315_13 279_36 023_46 007_47 316_53 290_28 102_37 351_01 291_33 1.03 13.58 F001.85 F001.20 F000.62 F000.18 F000.13 F000.05 R000.00 F000.00 359.95
2083-02-03 317_36 120_27 317_04 280_48 024_23 007_58 317_01 290_31 102_37 351_01 291_30 1.00 13.97 F001.90 F001.22 F000.67 F000.20 F000.12 F000.05 R359.97 F000.03 359.93
2083-02-04 318_36 134_25 318_58 282_01 025_03 008_10 317_08 290_34 102_35 351_03 291_26 1.00 14.25 F001.90 F001.20 F000.62 F000.20 F000.13 F000.07 R359.98 F000.02 359.93
2083-02-05 319_36 148_40 320_52 283_13 025_40 008_22 317_16 290_38 102_34 351_04 291_22 1.00 14.50 F001.90 F001.20 F000.65 F000.20 F000.12 F000.05 R359.97 F000.03 359.95
2083-02-06 320_36 163_10 322_46 284_25 026_19 008_34 317_23 290_41 102_32 351_06 291_19 1.00 14.65 F001.92 F001.20 F000.62 F000.20 F000.13 F000.07 R359.98 F000.02 359.95
2083-02-07 321_36 177_49 324_41 285_37 026_56 008_46 317_31 290_45 102_31 351_07 291_16 1.00 14.62 F001.95 F001.23 F000.67 F000.20 F000.10 F000.05 R000.00 F000.00 359.95
2083-02-08 322_36 192_26 326_38 286_51 027_36 008_58 317_37 290_48 102_31 351_07 291_13 1.00 14.57 F001.93 F001.22 F000.62 F000.20 F000.15 F000.05 R359.98 F000.02 359.95
2083-02-09 323_36 207_00 328_34 288_04 028_13 009_10 317_46 290_51 102_30 351_08 291_10 1.00 14.33 F001.95 F001.20 F000.65 F000.20 F000.10 F000.03 R359.97 F000.03 359.95
2083-02-10 324_36 221_20 330_31 289_16 028_52 009_22 317_52 290_53 102_28 351_10 291_07 1.00 14.13 F001.95 F001.20 F000.63 F000.20 F000.13 F000.05 R359.98 F000.02 359.95
2083-02-11 325_36 235_28 332_28 290_28 029_30 009_34 318_00 290_56 102_27 351_11 291_04 1.00 13.90 F001.97 F001.22 F000.63 F000.20 F000.12 F000.07 R359.97 F000.03 359.95
2083-02-12 326_36 249_22 334_26 291_41 030_08 009_46 318_07 291_00 102_25 351_13 291_01 1.00 13.63 F001.95 F001.20 F000.63 F000.20 F000.13 F000.05 R000.00 F000.03 359.95
2083-02-13 327_36 263_00 336_23 292_53 030_46 009_58 318_15 291_03 102_25 351_15 290_58 1.00 13.37 F001.93 F001.23 F000.65 F000.22 F000.12 F000.05 R359.98 F000.02 359.95
2083-02-14 328_36 276_22 338_19 294_07 031_25 010_11 318_22 291_06 102_24 351_16 290_55 1.00 13.15 F001.95 F001.20 F000.65 F000.22 F000.13 F000.03 R359.97 F000.00 359.95
