1978-02-05 320_30 265_40 325_48 330_37 088_46 062_47 122_15 202_46 234_41 172_35 163_40 1.00 14.50 F001.92 F001.23 F000.02 F000.07 R359.92 R000.00 F000.03 R359.98 359.95
1978-02-06 321_30 280_10 327_43 331_51 088_47 062_51 122_10 202_46 234_43 172_34 163_37 1.00 14.45 F001.95 F001.25 F000.05 F000.02 R359.92 R359.98 F000.00 R359.98 359.95
1978-02-07 322_30 294_37 329_40 333_06 088_50 062_52 122_05 202_45 234_43 172_33 163_34 1.02 14.35 F001.95 F001.25 F000.08 F000.05 R359.93 R359.97 F000.00 R359.97 359.95
1978-02-08 323_31 308_58 331_37 334_21 088_55 062_55 122_01 202_43 234_43 172_31 163_31 1.00 14.13 F001.93 F001.25 F000.05 F000.08 R359.95 R000.00 F000.00 R359.98 359.92
1978-02-09 324_31 323_06 333_33 335_36 088_58 063_00 121_58 202_43 234_43 172_30 163_26 1.00 13.82 F001.92 F001.22 F000.10 F000.03 R359.93 R359.97 F000.00 R359.97 359.97
1978-02-10 325_31 336_55 335_28 336_49 089_04 063_02 121_54 202_41 234_43 172_28 163_24 0.98 13.50 F001.90 F001.25 F000.10 F000.07 R359.92 R359.98 F000.03 R359.97 359.93
1978-02-11 326_30 350_25 337_22 338_04 089_10 063_06 121_49 202_40 234_45 172_26 163_20 1.00 13.15 F001.90 F001.25 F000.10 F000.07 R359.93 R000.00 F000.00 R359.98 359.97
1978-02-12 327_30 003_34 339_16 339_19 089_16 063_10 121_45 202_40 234_45 172_25 163_18 1.00 12.80 F001.90 F001.25 F000.10 F000.05 R359.92 R359.98 F000.00 R359.98 359.95
1978-02-13 328_30 016_22 341_10 340_34 089_22 063_13 121_40 202_39 234_45 172_24 163_15 1.00 12.50 F001.83 F001.25 F000.15 F000.07 R359.95 R359.97 F000.02 R359.97 359.93
1978-02-14 329_30 028_52 343_00 341_49 089_31 063_17 121_37 202_37 234_46 172_22 163_11 1.00 12.23 F001.80 F001.25 F000.13 F000.08 R359.92 R000.00 F000.00 R359.97 359.93
1978-02-15 330_30 041_06 344_48 343_04 089_39 063_22 121_32 202_37 234_46 172_20 163_07 1.00 12.02 F001.75 F001.23 F000.13 F000.08 R359.93 R359.97 F000.00 R359.98 359.95
1978-02-16 331_30 053_07 346_33 344_18 089_47 063_27 121_28 202_35 234_46 172_19 163_04 0.97 11.92 F001.70 F001.25 F000.17 F000.07 R359.95 R359.98 F000.00 R359.98 359.95
1978-02-17 332_28 065_02 348_15 345_33 089_57 063_31 121_25 202_34 234_46 172_18 163_01 1.00 11.88 F001.62 F001.22 F000.17 F000.08 R359.95 R359.98 F000.00 R359.97 359.95
1978-02-18 333_28 076_55 349_52 346_46 090_07 063_36 121_22 202_33 234_46 172_16 162_58 1.00 11.92 F001.57 F001.25 F000.17 F000.07 R359.92 R359.97 F000.00 R359.98 359.95
1978-02-19 334_28 088_50 351_26 348_01 090_17 063_40 121_17 202_31 234_46 172_15 162_55 1.00 12.03 F001.50 F001.25 F000.18 F000.10 R359.93 R359.98 F000.00 R359.97 359.95
1978-02-20 335_28 100_52 352_56 349_16 090_28 063_46 121_13 202_30 234_46 172_13 162_52 1.00 12.20 F001.42 F001.25 F000.20 F000.10 R359.95 R359.97 B000.00 R359.97 359.95
