2037-03-17 002_57 018_10 359_43 009_45 300_00 058_17 121_43 081_25 002_13 298_07 099_25 0.97 12.65 R359.30 F001.22 F000.75 F000.18 R359.98 F000.03 F000.03 F000.02 359.95
2037-03-18 003_55 030_49 359_01 010_58 300_45 058_28 121_42 081_27 002_15 298_08 099_22 1.00 12.85 R359.30 F001.25 F000.72 F000.17 R359.97 F000.02 F000.02 F000.03 359.95
2037-03-19 004_55 043_40 358_19 012_13 301_28 058_38 121_40 081_28 002_16 298_10 099_19 0.95 13.03 R359.35 F001.22 F000.75 F000.18 R000.00 F000.00 F000.05 F000.00 359.93
2037-03-20 005_52 056_42 357_40 013_26 302_13 058_49 121_40 081_28 002_19 298_10 099_15 1.00 13.22 R359.40 F001.25 F000.75 F000.20 R000.00 F000.05 F000.05 F000.02 359.95
2037-03-21 006_52 069_55 357_04 014_41 302_58 059_01 121_40 081_31 002_22 298_11 099_12 0.97 13.45 R359.45 F001.23 F000.72 F000.18 R359.98 F000.00 F000.02 F000.03 359.95
2037-03-22 007_50 083_22 356_31 015_55 303_41 059_12 121_39 081_31 002_23 298_13 099_09 0.98 13.72 R359.50 F001.25 F000.73 F000.17 R000.00 F000.05 F000.03 F000.00 359.93
2037-03-23 008_49 097_05 356_01 017_10 304_25 059_22 121_39 081_34 002_25 298_13 099_05 0.98 13.98 R359.60 F001.22 F000.75 F000.20 R359.97 F000.02 F000.05 F000.00 359.95
2037-03-24 009_48 111_04 355_37 018_23 305_10 059_34 121_37 081_35 002_28 298_13 099_02 0.97 14.22 R359.65 F001.23 F000.75 F000.18 R000.00 F000.03 F000.05 F000.03 359.97
2037-03-25 010_46 125_17 355_16 019_37 305_55 059_45 121_37 081_37 002_31 298_15 099_00 0.95 14.48 R359.75 F001.25 F000.72 F000.17 R000.00 F000.03 F000.02 F000.02 359.92
2037-03-26 011_43 139_46 355_01 020_52 306_38 059_55 121_37 081_39 002_32 298_16 098_55 1.00 14.65 R359.83 F001.23 F000.75 F000.20 R000.00 F000.02 F000.03 F000.00 359.95
2037-03-27 012_43 154_25 354_51 022_06 307_23 060_07 121_37 081_40 002_34 298_16 098_52 0.95 14.77 R359.90 F001.22 F000.73 F000.17 E000.00 F000.03 F000.05 F000.00 359.95
2037-03-28 013_40 169_11 354_45 023_19 308_07 060_17 121_37 081_42 002_37 298_16 098_49 0.98 14.73 E359.97 F001.25 F000.75 F000.22 F000.00 F000.02 F000.05 F000.03 359.95
2037-03-29 014_39 183_55 354_43 024_34 308_52 060_30 121_37 081_43 002_40 298_18 098_46 0.97 14.55 F000.08 F001.23 F000.75 F000.17 F000.00 F000.05 F000.03 F000.00 359.95
2037-03-30 015_37 198_28 354_48 025_48 309_37 060_40 121_37 081_46 002_42 298_18 098_43 0.98 14.28 F000.13 F001.22 F000.73 F000.20 F000.00 F000.02 F000.02 F000.02 359.95
2037-04-01 016_36 212_45 354_56 027_01 310_21 060_52 121_37 081_47 002_43 298_19 098_40 0.97 13.90 F000.23 F001.23 F000.72 F000.20 F000.03 F000.03 F000.05 F000.00 359.95
2037-04-02 017_34 226_39 355_10 028_15 311_04 061_04 121_39 081_49 002_46 298_19 098_37 0.95 13.47 F000.30 F001.22 F000.75 F000.20 F000.00 F000.05 F000.05 F000.00 359.95
2037-04-03 018_31 240_07 355_28 029_28 311_49 061_16 121_39 081_52 002_49 298_19 098_34 1.00 13.03 F000.40 F001.25 F000.75 F000.20 F000.02 F000.03 F000.03 F000.03 359.95
2037-04-04 019_31 253_09 355_52 030_43 312_34 061_28 121_40 081_54 002_51 298_21 098_31 0.95 12.62 F000.45 F001.22 F000.73 F000.20 F000.00 F000.02 F000.02 F000.00 359.95
2037-04-05 020_28 265_46 356_19 031_56 313_18 061_40 121_40 081_55 002_52 298_21 098_28 0.97 12.33 F000.50 F001.23 F000.72 F000.20 F000.03 F000.05 F000.05 F000.02 359.95
2037-04-06 021_26 278_06 356_49 033_10 314_01 061_52 121_42 081_58 002_55 298_22 098_25 0.98 12.03 F000.60 F001.25 F000.75 F000.20 F000.02 F000.05 F000.03 F000.00 359.92
2037-04-07 022_25 290_08 357_25 034_25 314_46 062_04 121_43 082_01 002_57 298_22 098_20 0.95 11.88 F000.65 F001.20 F000.75 F000.20 F000.00 F000.02 F000.02 F000.00 359.95
2037-04-08 023_22 302_01 358_04 035_37 315_31 062_16 121_43 082_02 002_58 298_22 098_17 0.98 11.85 F000.73 F001.25 F000.73 F000.20 F000.03 F000.03 F000.05 F000.00 359.97
2037-04-09 024_21 313_52 358_48 036_52 316_15 062_28 121_45 082_04 003_01 298_22 098_15 0.97 11.82 F000.77 F001.23 F000.72 F000.20 F000.02 F000.05 F000.05 F000.00 359.95
2037-04-10 025_19 325_41 359_34 038_06 316_58 062_40 121_46 082_07 003_04 298_22 098_12 0.95 11.93 F000.83 F001.22 F000.75 F000.20 F000.02 F000.05 F000.03 F000.00 359.95
2037-04-11 026_16 337_37 000_24 039_19 317_43 062_52 121_47 082_10 003_06 298_22 098_09 0.98 12.05 F000.87 F001.22 F000.75 F000.20 F000.03 F000.03 F000.02 F000.02 359.92
2037-04-12 027_15 349_40 001_16 040_32 318_28 063_04 121_49 082_12 003_07 298_23 098_04 0.97 12.30 F000.95 F001.23 F000.72 F000.20 F000.02 F000.05 F000.05 F000.00 359.95
2037-04-13 028_13 001_58 002_13 041_46 319_11 063_16 121_50 082_15 003_10 298_23 098_01 0.95 12.50 F001.00 F001.25 F000.73 F000.23 F000.03 F000.02 F000.03 F000.00 359.95
2037-04-14 029_10 014_28 003_13 043_01 319_55 063_30 121_52 082_16 003_12 298_23 097_58 0.97 12.72 F001.05 F001.20 F000.75 F000.20 F000.03 F000.05 F000.02 F000.03 359.95
2037-04-15 030_08 027_11 004_16 044_13 320_40 063_42 121_54 082_19 003_13 298_25 097_55 0.98 12.98 F001.10 F001.25 F000.72 F000.22 F000.02 F000.05 F000.05 F000.00 359.95
