2062-02-03 317_58 226_13 300_23 271_25 341_34 094_58 059_57 202_46 055_34 328_43 337_55 1.00 11.90 F001.62 F000.97 F000.75 R359.95 F000.02 R359.98 F000.00 F000.03 359.95
2062-02-04 318_58 238_07 302_00 272_23 342_19 094_55 059_58 202_45 055_34 328_45 337_52 1.00 11.85 F001.62 F000.98 F000.78 R359.92 F000.00 R000.00 F000.00 F000.02 359.95
2062-02-05 319_58 249_58 303_37 273_22 343_06 094_50 059_58 202_45 055_34 328_46 337_49 1.00 11.90 F001.63 F000.98 F000.77 R359.93 F000.03 R359.97 F000.00 F000.03 359.95
2062-02-06 320_58 261_52 305_15 274_21 343_52 094_46 060_00 202_43 055_34 328_48 337_46 1.00 12.00 F001.63 F000.97 F000.75 R359.95 F000.02 R000.00 F000.00 F000.02 359.95
2062-02-07 321_58 273_52 306_53 275_19 344_37 094_43 060_01 202_43 055_34 328_49 337_43 1.00 12.18 F001.68 F001.00 F000.75 R359.95 F000.00 R359.97 F000.00 F000.03 359.95
2062-02-08 322_58 286_03 308_34 276_19 345_22 094_40 060_01 202_41 055_34 328_51 337_40 1.00 12.37 F001.68 F001.00 F000.77 R359.95 F000.02 R359.98 F000.00 F000.02 359.95
2062-02-09 323_58 298_25 310_15 277_19 346_08 094_37 060_02 202_40 055_34 328_52 337_37 1.00 12.60 F001.68 F001.00 F000.78 R359.95 F000.03 R000.00 F000.00 F000.02 359.95
2062-02-10 324_58 311_01 311_56 278_19 346_55 094_34 060_04 202_40 055_34 328_53 337_34 1.00 12.83 F001.73 F001.03 F000.75 R359.95 F000.05 R359.98 F000.03 F000.03 359.93
2062-02-11 325_58 323_51 313_40 279_21 347_40 094_31 060_07 202_39 055_36 328_55 337_30 1.00 13.08 F001.75 F001.02 F000.75 R359.95 F000.00 R359.97 F000.00 F000.05 359.93
2062-02-12 326_58 336_56 315_25 280_22 348_25 094_28 060_07 202_37 055_36 328_58 337_26 1.00 13.33 F001.75 F001.00 F000.77 R359.95 F000.05 R000.00 F000.02 F000.00 359.95
2062-02-13 327_58 350_16 317_10 281_22 349_11 094_25 060_10 202_37 055_37 328_58 337_23 1.00 13.55 F001.80 F001.05 F000.78 R359.98 F000.03 R359.97 F000.00 F000.05 359.97
2062-02-14 328_58 003_49 318_58 282_25 349_58 094_24 060_12 202_35 055_37 329_01 337_21 1.00 13.75 F001.80 F001.02 F000.75 R359.97 F000.02 R359.98 F000.00 F000.00 359.95
2062-02-15 329_58 017_34 320_46 283_26 350_43 094_22 060_13 202_34 055_37 329_01 337_18 1.00 13.90 F001.80 F001.03 F000.75 R359.95 F000.05 R000.00 F000.00 F000.05 359.95
2062-02-16 330_58 031_28 322_34 284_28 351_28 094_19 060_16 202_34 055_37 329_04 337_15 1.00 14.05 F001.85 F001.05 F000.75 R000.00 F000.02 R359.98 F000.00 F000.00 359.92
2062-02-17 331_58 045_31 324_25 285_31 352_13 094_19 060_17 202_33 055_37 329_04 337_10 0.97 14.15 F001.85 F001.05 F000.78 R359.95 F000.07 R359.97 F000.02 F000.05 359.95
2062-02-18 332_56 059_40 326_16 286_34 353_00 094_16 060_21 202_31 055_38 329_07 337_07 1.00 14.20 F001.90 F001.05 F000.75 R000.00 F000.02 R359.98 F000.03 F000.00 359.95
2062-02-19 333_56 073_52 328_10 287_37 353_45 094_16 060_22 202_30 055_40 329_07 337_04 1.00 14.25 F001.90 F001.05 F000.77 R359.98 F000.05 R359.97 F000.00 F000.05 359.95
2062-02-20 334_56 088_07 330_04 288_40 354_31 094_15 060_25 202_28 055_40 329_10 337_01 0.98 14.22 F001.90 F001.08 F000.75 R359.97 F000.05 R359.97 F000.00 F000.02 359.95
2062-02-21 335_55 102_20 331_58 289_45 355_16 094_13 060_28 202_26 055_40 329_11 336_58 1.00 14.18 F001.95 F001.07 F000.75 R000.00 F000.05 R359.98 F000.03 F000.03 359.95
2062-02-22 336_55 116_31 333_55 290_49 356_01 094_13 060_31 202_25 055_42 329_13 336_55 1.00 14.03 F001.95 F001.05 F000.75 R000.00 F000.05 R359.98 F000.00 F000.03 359.95
2062-02-23 337_55 130_33 335_52 291_52 356_46 094_13 060_34 202_24 055_42 329_15 336_52 1.00 13.85 F001.98 F001.07 F000.75 R000.00 F000.05 R359.97 F000.02 F000.02 359.95
2062-02-24 338_55 144_24 337_51 292_56 357_31 094_13 060_37 202_22 055_43 329_16 336_49 0.97 13.62 F002.00 F001.08 F000.75 R359.98 F000.05 R359.97 F000.00 F000.03 359.95
2062-02-25 339_53 158_01 339_51 294_01 358_16 094_12 060_40 202_20 055_43 329_18 336_46 1.00 13.35 F002.00 F001.08 F000.75 E000.02 F000.05 R359.98 F000.03 F000.02 359.95
2062-02-26 340_53 171_22 341_51 295_06 359_01 094_13 060_43 202_19 055_45 329_19 336_43 0.98 13.07 F002.02 F001.07 F000.75 F000.00 F000.05 R359.98 F000.02 F000.03 359.95
2062-02-27 341_52 184_26 343_52 296_10 359_46 094_13 060_46 202_18 055_46 329_21 336_40 1.00 12.78 F002.02 F001.10 F000.75 F000.00 F000.05 R359.97 F000.00 F000.02 359.93
2062-02-28 342_52 197_13 345_53 297_16 000_31 094_13 060_49 202_16 055_46 329_22 336_36 1.00 12.47 F002.05 F001.10 F000.75 F000.00 F000.07 R359.95 F000.00 F000.02 359.95
2062-02-29 343_52 209_41 347_56 298_22 001_16 094_13 060_53 202_13 055_46 329_23 336_33 0.98 12.28 F002.03 F001.10 F000.75 F000.03 F000.07 R359.97 F000.02 F000.03 359.95
2062-02-30 344_51 221_58 349_58 299_28 002_01 094_15 060_57 202_11 055_47 329_25 336_30 1.00 12.05 F002.05 F001.10 F000.75 F000.02 F000.07 R359.98 F000.03 F000.02 359.93
2062-02-31 345_51 234_01 352_01 300_34 002_46 094_16 061_01 202_10 055_49 329_26 336_26 0.97 11.95 F002.05 F001.10 F000.75 F000.00 F000.05 R359.98 F000.00 F000.03 359.95
2062-03-01 346_49 245_58 354_04 301_40 003_31 094_16 061_04 202_09 055_49 329_28 336_23 1.00 11.88 F002.05 F001.10 F000.75 F000.05 F000.05 R359.97 F000.03 F000.03 359.97
2062-03-02 347_49 257_51 356_07 302_46 004_16 094_19 061_07 202_07 055_51 329_30 336_21 0.98 11.90 F002.02 F001.10 F000.75 F000.00 F000.08 R359.95 F000.02 F000.02 359.92
2062-03-03 348_48 269_45 358_08 303_52 005_01 094_19 061_12 202_04 055_52 329_31 336_16 1.00 12.02 F002.02 F001.10 F000.73 F000.05 F000.07 R359.98 F000.02 F000.03 359.95
2062-03-04 349_48 281_46 000_09 304_58 005_45 094_22 061_16 202_03 055_53 329_33 336_13 0.97 12.17 F001.97 F001.10 F000.75 F000.03 F000.08 R359.97 F000.03 F000.02 359.95
2062-03-05 350_46 293_56 002_07 306_04 006_30 094_24 061_21 202_01 055_55 329_34 336_10 1.00 12.43 F001.95 F001.12 F000.72 F000.02 F000.07 R359.95 F000.00 F000.03 359.95
2062-03-06 351_46 306_22 004_04 307_11 007_13 094_25 061_25 201_58 055_55 329_36 336_07 0.98 12.73 F001.95 F001.13 F000.75 F000.05 F000.05 R359.97 F000.03 F000.02 359.95
2062-03-07 352_45 319_06 006_01 308_19 007_58 094_28 061_28 201_56 055_57 329_37 336_04 0.97 13.07 F001.85 F001.10 F000.75 F000.05 F000.07 R359.97 F000.02 F000.02 359.95
2062-03-08 353_43 332_10 007_52 309_25 008_43 094_31 061_32 201_54 055_58 329_38 336_01 1.00 13.38 F001.85 F001.15 F000.75 F000.05 F000.08 R359.97 F000.00 F000.03 359.95
2062-03-09 354_43 345_33 009_43 310_34 009_28 094_34 061_37 201_52 055_58 329_40 335_58 0.97 13.72 F001.78 F001.10 F000.72 F000.05 F000.08 R359.95 F000.05 F000.00 359.95
2062-03-10 355_41 359_16 011_30 311_40 010_11 094_37 061_42 201_49 056_01 329_40 335_55 0.98 14.00 F001.72 F001.15 F000.73 F000.05 F000.07 R359.98 F000.00 F000.05 359.95
2062-03-11 356_40 013_16 013_13 312_49 010_55 094_40 061_46 201_48 056_01 329_43 335_52 1.00 14.23 F001.65 F001.10 F000.75 F000.05 F000.10 R359.97 F000.02 F000.00 359.95
2062-03-12 357_40 027_30 014_52 313_55 011_40 094_43 061_52 201_46 056_02 329_43 335_49 0.97 14.37 F001.57 F001.15 F000.75 F000.05 F000.08 R359.95 F000.03 F000.05 359.95
2062-03-13 358_38 041_52 016_26 315_04 012_25 094_46 061_57 201_43 056_04 329_46 335_46 0.98 14.40 F001.50 F001.12 F000.73 F000.05 F000.07 R359.95 F000.03 F000.00 359.92
2062-03-14 359_37 056_16 017_56 316_11 013_09 094_49 062_01 201_40 056_06 329_46 335_41 0.98 14.38 F001.43 F001.13 F000.72 F000.08 F000.10 R359.98 F000.02 F000.03 359.95
2062-03-15 000_36 070_39 019_22 317_19 013_52 094_54 062_07 201_39 056_07 329_48 335_38 0.97 14.27 F001.35 F001.15 F000.75 F000.07 F000.08 R359.97 F000.02 F000.02 359.97
2062-03-16 001_34 084_55 020_43 318_28 014_37 094_58 062_12 201_37 056_08 329_49 335_36 1.00 14.15 F001.28 F001.13 F000.72 F000.05 F000.07 R359.95 F000.03 F000.03 359.95
2062-03-17 002_34 099_04 022_00 319_36 015_20 095_01 062_16 201_34 056_10 329_51 335_33 0.95 13.97 F001.17 F001.15 F000.73 F000.07 F000.10 R359.95 F000.03 F000.02 359.95
2062-03-18 003_31 113_02 023_10 320_45 016_04 095_05 062_22 201_31 056_12 329_52 335_30 1.00 13.80 F001.10 F001.12 F000.75 F000.08 F000.08 R359.98 F000.02 F000.02 359.93
2062-03-19 004_31 126_50 024_16 321_52 016_49 095_10 062_27 201_30 056_13 329_53 335_26 0.98 13.60 F000.98 F001.15 F000.73 F000.08 F000.08 R359.93 F000.03 F000.03 359.93
2062-03-20 005_30 140_26 025_15 323_01 017_33 095_15 062_32 201_26 056_15 329_55 335_22 0.97 13.40 F000.92 F001.15 F000.72 F000.07 F000.08 R359.98 F000.02 F000.00 359.95
2062-03-21 006_28 153_50 026_10 324_10 018_16 095_19 062_37 201_25 056_16 329_55 335_19 0.98 13.22 F000.80 F001.15 F000.75 F000.10 F000.10 R359.95 F000.02 F000.05 359.95
2062-03-22 007_27 167_03 026_58 325_19 019_01 095_25 062_43 201_22 056_17 329_58 335_16 0.97 13.00 F000.70 F001.15 F000.70 F000.08 F000.10 R359.95 F000.03 F000.00 359.95
2062-03-23 008_25 180_03 027_40 326_28 019_43 095_30 062_49 201_19 056_19 329_58 335_13 0.98 12.77 F000.63 F001.15 F000.75 F000.07 F000.10 R359.95 F000.03 F000.03 359.95
2062-03-24 009_24 192_49 028_18 327_37 020_28 095_34 062_55 201_16 056_21 330_00 335_10 0.97 12.58 F000.52 F001.15 F000.70 F000.10 F000.08 R359.98 F000.02 F000.02 359.95
2062-03-25 010_22 205_24 028_49 328_46 021_10 095_40 063_00 201_15 056_22 330_01 335_07 0.97 12.37 F000.43 F001.15 F000.75 F000.10 F000.10 R359.93 F000.05 F000.03 359.95
2062-03-26 011_20 217_46 029_15 329_55 021_55 095_46 063_06 201_11 056_25 330_03 335_04 0.98 12.20 F000.32 F001.15 F000.72 F000.10 F000.10 R359.98 F000.00 F000.02 359.95
2062-03-27 012_19 229_58 029_34 331_04 022_38 095_52 063_12 201_10 056_25 330_04 335_01 0.95 12.03 F000.25 F001.15 F000.73 F000.10 F000.08 R359.95 F000.05 F000.00 359.95
2062-03-28 013_16 242_00 029_49 332_13 023_22 095_58 063_17 201_07 056_28 330_04 334_58 1.00 11.92 F000.12 F001.15 F000.70 F000.10 F000.10 R359.95 F000.03 F000.03 359.95
2062-03-29 014_16 253_55 029_56 333_22 024_04 096_04 063_23 201_04 056_30 330_06 334_55 0.95 11.88 B000.07 F001.15 F000.75 F000.10 F000.12 R359.95 F000.02 F000.02 359.95
2062-03-30 015_13 265_48 030_00 334_31 024_49 096_10 063_30 201_01 056_31 330_07 334_52 0.97 11.87 R359.93 F001.15 F000.70 F000.10 F000.10 R359.98 F000.02 F000.02 359.93
2062-04-01 016_11 277_40 029_56 335_40 025_31 096_16 063_36 201_00 056_32 330_08 334_48 0.98 12.00 R359.88 F001.18 F000.73 F000.10 F000.10 R359.93 F000.03 F000.03 359.95
2062-04-02 017_10 289_40 029_49 336_51 026_15 096_22 063_42 200_56 056_34 330_10 334_45 0.97 12.15 R359.80 F001.17 F000.72 F000.13 F000.08 R359.98 F000.05 F000.00 359.93
